"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Sasikala, D.; Sarrvesh, N.; Sabarinath, J.; Theetchenya, S.; Kalavathi, S.","Sasikala, D. (57200240595); Sarrvesh, N. (58916003600); Sabarinath, J. (58983595600); Theetchenya, S. (55616001600); Kalavathi, S. (57915514300)","57200240595; 58916003600; 58983595600; 55616001600; 57915514300","Automated ICD Medical Code Generation for Radiology Reports using BioClinicalBERT with Multi-Head Attention Network","2025","Journal of Electronics, Electromedical Engineering, and Medical Informatics","7","3","","800","816","0","10.35882/jeeemi.v7i3.775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008483063&doi=10.35882%2Fjeeemi.v7i3.775&partnerID=40&md5=2f005d3b25f53fdb598e867feb6dbfa8","International Classification of Diseases (ICD) coding plays a pivotal role in healthcare systems with its provision of a standard method for classifying medical diagnoses, treatments, and procedures. However, the process of manually applying ICD codes to clinical records is both time-consuming and error-prone, particularly considering the large magnitude of medical terminologies and the periodic changes to the coding system. This work introduces a Hierarchical Multi-Head Attention Network (HMHAN) that aims to automate ICD coding using domain-related embeddings with an attention mechanism. The proposed method uses BioClinicalBERT for feature extraction from clinical text and then a two-level attention mechanism to learn hierarchical dependencies between labels. BioClinicalBERT is pre-trained on large biomedical and clinical corpora that enable it to capture complex contextual relationships specific to medical language more effectively. The multi-head attention mechanism enables the model to focus on different parts of the input text simultaneously, learning intricate associations between medical terms and corresponding ICD codes at various levels. This method uses SMOTE (Synthetic Minority Oversampling Technique) based multi-label resampling to solve class imbalance. SMOTE generates synthetic examples for underrepresented classes, allowing the model to learn better from imbalanced data without overfitting. For this work, MIMIC-IV dataset of de-identified radiology reports and corresponding ICD codes are used. The performance of the model is assessed with F1 score, Hamming loss, and ROC-AUC metrics. Results obtained from the model with an F1 score of 0.91, Hamming loss of 0.07, and ROC-AUC of 0.92 show promising research directions to automate the ICD coding process. This system will improve the effectiveness of healthcare workflows by automating ICD code generation for advanced clinical care. © 2025 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105008483063"
"Neha, F.; Bhati, D.; Shukla, D.K.","Neha, Fnu (58236917900); Bhati, Deepshikha (57552724000); Shukla, Deepak Kumar (59480735900)","58236917900; 57552724000; 59480735900","Generative AI Models (2018–2024): Advancements and Applications in Kidney Care","2025","BioMedInformatics","5","2","18","","","6","10.3390/biomedinformatics5020018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009949333&doi=10.3390%2Fbiomedinformatics5020018&partnerID=40&md5=3dfc76f771c2861ae8b03c3b4d4a841f","Kidney disease poses a significant global health challenge, affecting millions and straining healthcare systems due to limited nephrology resources. This paper examines the transformative potential of Generative AI (GenAI), Large Language Models (LLMs), and Large Vision Models (LVMs) in addressing critical challenges in kidney care. GenAI supports research and early interventions through the generation of synthetic medical data. LLMs enhance clinical decision-making by analyzing medical texts and electronic health records, while LVMs improve diagnostic accuracy through advanced medical image analysis. Together, these technologies show promise for advancing patient education, risk stratification, disease diagnosis, and personalized treatment strategies. This paper highlights key advancements in GenAI, LLMs, and LVMs from 2018 to 2024, focusing on their applications in kidney care and presenting common use cases. It also discusses their limitations, including knowledge cutoffs, hallucinations, contextual understanding challenges, data representation biases, computational demands, and ethical concerns. By providing a comprehensive analysis, this paper outlines a roadmap for integrating these AI advancements into nephrology, emphasizing the need for further research and real-world validation to fully realize their transformative potential. © 2025 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105009949333"
"Abdullakutty, F.; Akbari, Y.; Al-Madeed, S.; Bouridane, A.; Rifat Hamoudi, R.","Abdullakutty, Faseela Chakkalakkal (57191280946); Akbari, Younes (54410216300); Al-Madeed, Somaya Ali (36467897100); Bouridane, A. (6701348149); Rifat Hamoudi, Rifat (59931529100)","57191280946; 54410216300; 36467897100; 6701348149; 59931529100","Enhancing the Prediction of Breast Cancer Progression Through Multi-modal Data Transformation","2025","Cognitive Computation","17","3","114","","","0","10.1007/s12559-025-10474-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007459375&doi=10.1007%2Fs12559-025-10474-6&partnerID=40&md5=11dc159214480e1d905308fd70e25bcd","The ability to predict breast cancer metastases is essential for making effective clinical decisions and managing patients. Traditional models predominantly rely on structured clinical data, which often lacks essential contextual details, limiting their predictive accuracy. In order to address this limitation, a multi-modal approach is introduced in which structured data is transformed into unstructured text, while contextual richness is preserved. Using this text, synthetic images are generated across three key diagnostic modalities, histopathology, mammography, and ultrasound, to enhance predictive capabilities. Based on converted text data, a pre-trained diffusion model was used to generate synthetic medical images in histopathology, mammography, and ultrasound modalities. The impact of a variety of text description variants on image quality and metastasis prediction was assessed. Comprehensive tumor descriptions or a combination of histological type and differentiation status were the most effective generation strategies. A comparison was conducted between three prediction approaches: a unimodal approach, an early fusion approach based on concatenation, and the Multi Co-Guided Attention (MCGA) approach. Through mutual attention, MCGA enhances feature alignment by addressing inter- and intra-modal heterogeneity and capturing complex relationships. Unimodal and multi-modal methods were evaluated with the application of SMOTE to mitigate the impact of data imbalance. Multi-modal fusion significantly outperforms unimodal methods, especially when class imbalances are mitigated by using SMOTE. When SMOTE was applied, Ultrasound+BERT achieved the highest level of accuracy (0.90), followed by Histopathology+BERT (0.88), and Mammogram+BERT (0.88). As compared to early fusion, MCGA demonstrated better class balance and improved minority class detection. Incorporating unstructured text with synthetic imaging modalities improves the accuracy of metastasis prediction by preserving contextual information. A MCGA fusion is particularly effective in ensuring balanced class performance, particularly for rectifying class imbalances. Through this approach, the complementary strengths of textual and visual data are leveraged to overcome limitations in multi-modality integration. These results demonstrate the potential for advancing the prediction of breast cancer metastasis, offering a more robust and context-aware framework for clinical decision-making. © The Author(s) 2025.","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105007459375"
"Chuang, Y.-S.; Sarkar, A.R.; Hsu, Y.-C.; Mohammed, N.; Jiang, X.","Chuang, Yaoshun (58739616700); Sarkar, Atiquer Rahman (57223022474); Hsu, Yuchun (58153730300); Mohammed, Noman (23025118200); Jiang, Xiaoqian (59051718600)","58739616700; 57223022474; 58153730300; 23025118200; 59051718600","Robust privacy amidst innovation with large language models through a critical assessment of the risks","2025","Journal of the American Medical Informatics Association","32","5","","885","892","0","10.1093/jamia/ocaf037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003151736&doi=10.1093%2Fjamia%2Focaf037&partnerID=40&md5=c78343be517332734387a3bc633a9962","Objective: This study evaluates the integration of electronic health records (EHRs) and natural language processing (NLP) with large language models (LLMs) to enhance healthcare data management and patient care, focusing on using advanced language models to create secure, Health Insurance Portability and Accountability Act-compliant synthetic patient notes for global biomedical research. Materials and Methods: The study used de-identified and re-identified versions of the MIMIC III dataset with GPT-3.5, GPT-4, and Mistral 7B to generate synthetic clinical notes. Text generation employed templates and keyword extraction for contextually relevant notes, with One-shot generation for comparison. Privacy was assessed by analyzing protected health information (PHI) occurrence and co-occurrence, while utility was evaluated by training an ICD-9 coder using synthetic notes. Text quality was measured using ROUGE (Recall-Oriented Understudy for Gisting Evaluation) and cosine similarity metrics to compare synthetic notes with source notes for semantic similarity. Results: The analysis of PHI occurrence and text utility via the ICD-9 coding task showed that the keyword-based method had low risk and good performance. One-shot generation exhibited the highest PHI exposure and PHI co-occurrence, particularly in geographic location and date categories. The Normalized One-shot method achieved the highest classification accuracy. Re-identified data consistently outperformed de-identified data. Discussion: Privacy analysis revealed a critical balance between data utility and privacy protection, influencing future data use and sharing. Conclusion: This study shows that keyword-based methods can create synthetic clinical notes that protect privacy while retaining data usability, potentially improving clinical data sharing. The use of dummy PHIs to counter privacy attacks may offer better utility and privacy than traditional de-identification. © The Author(s) 2025. Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved.","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105003151736"
"Luo, Y.; Khan, M.O.; Wen, C.; Afzal, M.M.; Wuermeling, T.F.; Shi, M.; Tian, Y.; Fang, Y.; Wang, M.","Luo, Yan (57214777740); Khan, Muhammad Osama (57912222600); Wen, Congcong (57200555819); Afzal, Muhammad Muneeb (57612472200); Wuermeling, Titus Fidelis (59342836800); Shi, Min (57191489513); Tian, Yu (57211428453); Fang, Yi (55469293700); Wang, Mengyu (57171093800)","57214777740; 57912222600; 57200555819; 57612472200; 59342836800; 57191489513; 57211428453; 55469293700; 57171093800","FairDiffusion: Enhancing equity in latent diffusion models via fair Bayesian perturbation","2025","Science Advances","11","14","eads4593","","","1","10.1126/sciadv.ads4593","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002024713&doi=10.1126%2Fsciadv.ads4593&partnerID=40&md5=b0b537642069b3c9717ceddd2b346d19","Recent advancements in generative AI, particularly diffusion models, have proven valuable for text-to-image synthesis. In health care, these models offer immense potential in generating synthetic datasets and aiding medical training. Despite these strong performances, it remains uncertain whether the image generation quality is consistent across different demographic subgroups. To address this, we conduct a comprehensive analysis of fairness in medical text-to-image diffusion models. Evaluations of the Stable Diffusion model reveal substantial disparities across gender, race, and ethnicity. To reduce these biases, we propose FairDiffusion, an equity-aware latent diffusion model that improves both image quality and the semantic alignment of clinical features. In addition, we design and curate FairGenMed, a dataset tailored for fairness studies in medical generative models. FairDiffusion is further assessed on HAM10000 (dermatoscopic images) and CheXpert (chest x-rays), demonstrating its effectiveness in diverse medical imaging modalities. Together, FairDiffusion and FairGenMed advance research in fair generative learning, promoting equitable benefits of generative AI in health care. © © 2025 The Authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105002024713"
"Sun, Y.; Tan, W.; Gu, Z.; He, R.; Chen, S.; Pang, M.; Yan, B.","Sun, Yuqi (57345058300); Tan, Weimin (57188575769); Gu, Zhuoyao (58881981000); He, Ruian (57226238728); Chen, Siyuan (58503307600); Pang, Miao (58882124000); Yan, Bo (36764113400)","57345058300; 57188575769; 58881981000; 57226238728; 58503307600; 58882124000; 36764113400","A data-efficient strategy for building high-performing medical foundation models","2025","Nature Biomedical Engineering","9","4","4542","539","551","7","10.1038/s41551-025-01365-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000334205&doi=10.1038%2Fs41551-025-01365-0&partnerID=40&md5=ddd6d3ef0684820070408e01b9357a7a","Foundation models are pretrained on massive datasets. However, collecting medical datasets is expensive and time-consuming, and raises privacy concerns. Here we show that synthetic data generated via conditioning with disease labels can be leveraged for building high-performing medical foundation models. We pretrained a retinal foundation model, first with approximately one million synthetic retinal images with physiological structures and feature distribution consistent with real counterparts, and then with only 16.7% of the 904,170 real-world colour fundus photography images required in a recently reported retinal foundation model (RETFound). The data-efficient model performed as well or better than RETFound across nine public datasets and four diagnostic tasks; and for diabetic-retinopathy grading, it used only 40% of the expert-annotated training data used by RETFound. We also support the generalizability of the data-efficient strategy by building a classifier for the detection of tuberculosis on chest X-ray images. The text-conditioned generation of synthetic data may enhance the performance and generalization of medical foundation models. © The Author(s), under exclusive licence to Springer Nature Limited 2025.","Article","Final","","Scopus","2-s2.0-86000334205"
"de Wilde, D.; Zanier, O.; da Mutten, R.; Jin, M.; Regli, L.; Serra, C.; Staartjes, V.E.","de Wilde, Daniel (59387841700); Zanier, Olivier (57295320200); da Mutten, Raffaele (57226639318); Jin, Michael Chuwei (57207572637); Regli, Luca P.E. (7004240836); Serra, Carlo (50263014800); Staartjes, Victor E. (57190836125)","59387841700; 57295320200; 57226639318; 57207572637; 7004240836; 50263014800; 57190836125","Strategies for generating synthetic computed tomography-like imaging from radiographs: A scoping review","2025","Medical Image Analysis","101","","103454","","","4","10.1016/j.media.2025.103454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214329637&doi=10.1016%2Fj.media.2025.103454&partnerID=40&md5=99d6884058c1185561ffc8da6a5c7ba3","Background: Advancements in tomographic medical imaging have revolutionized diagnostics and treatment monitoring by offering detailed 3D visualization of internal structures. Despite the significant value of computed tomography (CT), challenges such as high radiation dosage and cost barriers limit its accessibility, especially in low- and middle-income countries. Recognizing the potential of radiographic imaging in reconstructing CT images, this scoping review aims to explore the emerging field of synthesizing 3D CT-like images from 2D radiographs by examining the current methodologies. Methods: A scoping review was carried out following PRISMA-SR guidelines. Eligibility criteria for the articles included full-text articles published up to September 9, 2024, studying methodologies for the synthesis of 3D CT images from 2D biplanar or four-projection x-ray images. Eligible articles were sourced from PubMed MEDLINE, Embase, and arXiv. Results: 76 studies were included. The majority (50.8 %, n = 30) were published between 2010 and 2020 (38.2 %, n = 29) and from 2020 onwards (36.8 %, n = 28), with European (40.8 %, n = 31), North American (26.3 %, n = 20), and Asian (32.9 %, n = 25) institutions being primary contributors. Anatomical regions varied, with 17.1 % (n = 13) of studies not using clinical data. Further, studies focused on the chest (25 %, n = 19), spine and vertebrae (17.1 %, n = 13), coronary arteries (10.5 %, n = 8), and cranial structures (10.5 %, n = 8), among other anatomical regions. Convolutional neural networks (CNN) (19.7 %, n = 15), generative adversarial networks (21.1 %, n = 16) and statistical shape models (15.8 %, n = 12) emerged as the most applied methodologies. A limited number of studies included explored the use of conditional diffusion models, iterative reconstruction algorithms, statistical shape models, and digital tomosynthesis. Conclusion: This scoping review summarizes current strategies and challenges in synthetic imaging generation. The development of 3D CT-like imaging from 2D radiographs could reduce radiation risk while simultaneously addressing financial and logistical obstacles that impede global access to CT imaging. Despite initial promising results, the field encounters challenges with varied methodologies and frequent lack of proper validation, requiring further research to define synthetic imaging's clinical role. © 2025","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85214329637"
"Bluethgen, C.; Chambon, P.; Delbrouck, J.-B.; van der Sluijs, R.; Polacin, M.; Zambrano-Chaves, J.M.; Abraham, T.M.; Purohit, S.; Langlotz, C.P.; Chaudhari, A.S.","Bluethgen, Christian (57868531400); Chambon, Pierre J. (57226150182); Delbrouck, Jean Benoit (57211254794); van der Sluijs, Rogier (57200302105); Polacin, Małgorzata (57194633346); Zambrano-Chaves, Juan M. (57200231316); Abraham, Tanishq Mathew (57204417441); Purohit, Shivanshu (57668185600); Langlotz, Curtis P.M.D. (20134955200); Chaudhari, Akshay Sanjay (57189961973)","57868531400; 57226150182; 57211254794; 57200302105; 57194633346; 57200231316; 57204417441; 57668185600; 20134955200; 57189961973","A vision–language foundation model for the generation of realistic chest X-ray images","2025","Nature Biomedical Engineering","9","4","74","494","506","39","10.1038/s41551-024-01246-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202050648&doi=10.1038%2Fs41551-024-01246-y&partnerID=40&md5=ceeef2b9778587dfe8135eeb18466a72","The paucity of high-quality medical imaging datasets could be mitigated by machine learning models that generate compositionally diverse images that faithfully represent medical concepts and pathologies. However, large vision–language models are trained on natural images, and the diversity distribution of the generated images substantially differs from that of medical images. Moreover, medical language involves specific and semantically rich vocabulary. Here we describe a domain-adaptation strategy for large vision–language models that overcomes distributional shifts. Specifically, by leveraging publicly available datasets of chest X-ray images and the corresponding radiology reports, we adapted a latent diffusion model pre-trained on pairs of natural images and text descriptors to generate diverse and visually plausible synthetic chest X-ray images (as confirmed by board-certified radiologists) whose appearance can be controlled with free-form medical text prompts. The domain-adaptation strategy for the text-conditioned synthesis of medical images can be used to augment training datasets and is a viable alternative to the sharing of real medical images for model training and fine-tuning. © The Author(s), under exclusive licence to Springer Nature Limited 2024.","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85202050648"
"Usman Akbar, M.; Wang, W.; Eklund, A.","Usman Akbar, Muhammad (58912320700); Wang, Wuhao (58343094900); Eklund, Anders (7102406829)","58912320700; 58343094900; 7102406829","Beware of diffusion models for synthesizing medical images—a comparison with GANs in terms of memorizing brain MRI and chest x-ray images","2025","Machine Learning: Science and Technology","6","1","015022","","","11","10.1088/2632-2153/ad9a3a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217039477&doi=10.1088%2F2632-2153%2Fad9a3a&partnerID=40&md5=32b544299f1744176204cca1744eb464","Diffusion models were initially developed for text-to-image generation and are now being utilized to generate high quality synthetic images. Preceded by generative adversarial networks (GANs), diffusion models have shown impressive results using various evaluation metrics. However, commonly used metrics such as Frechet inception distance and inception score are not suitable for determining whether diffusion models are simply reproducing the training images. Here we train StyleGAN and a diffusion model, using BRATS20, BRATS21 and a chest x-ray (CXR) pneumonia dataset, to synthesize brain MRI and CXR images, and measure the correlation between the synthetic images and all training images. Our results show that diffusion models are more likely to memorize the training images, compared to StyleGAN, especially for small datasets and when using 2D slices from 3D volumes. Researchers should be careful when using diffusion models (and to some extent GANs) for medical imaging, if the final goal is to share the synthetic images. © 2025 The Author(s). Published by IOP Publishing Ltd.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85217039477"
"Ejiga Peter, O.O.; Adeniran, O.T.; John-Otumu, A.M.; Khalifa, F.; Rahman, M.M.","Ejiga Peter, Ojonugwa Oluwafemi (59705167400); Adeniran, Opeyemi Taiwo (58614138800); John-Otumu, Adetokunbo Macgregor (57224400737); Khalifa, Fahmi A. (36622321200); Rahman, Md Mahmudur (57199763102)","59705167400; 58614138800; 57224400737; 36622321200; 57199763102","Text-Guided Synthesis in Medical Multimedia Retrieval: A Framework for Enhanced Colonoscopy Image Classification and Segmentation","2025","Algorithms","18","3","155","","","4","10.3390/a18030155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001396823&doi=10.3390%2Fa18030155&partnerID=40&md5=857cecf575c7f11c8c687383a8566982","The lack of extensive, varied, and thoroughly annotated datasets impedes the advancement of artificial intelligence (AI) for medical applications, especially colorectal cancer detection. Models trained with limited diversity often display biases, especially when utilized on disadvantaged groups. Generative models (e.g., DALL-E 2, Vector-Quantized Generative Adversarial Network (VQ-GAN)) have been used to generate images but not colonoscopy data for intelligent data augmentation. This study developed an effective method for producing synthetic colonoscopy image data, which can be used to train advanced medical diagnostic models for robust colorectal cancer detection and treatment. Text-to-image synthesis was performed using fine-tuned Visual Large Language Models (LLMs). Stable Diffusion and DreamBooth Low-Rank Adaptation produce images that look authentic, with an average Inception score of 2.36 across three datasets. The validation accuracy of various classification models Big Transfer (BiT), Fixed Resolution Residual Next Generation Network (FixResNeXt), and Efficient Neural Network (EfficientNet) were 92%, 91%, and 86%, respectively. Vision Transformer (ViT) and Data-Efficient Image Transformers (DeiT) had an accuracy rate of 93%. Secondly, for the segmentation of polyps, the ground truth masks are generated using Segment Anything Model (SAM). Then, five segmentation models (U-Net, Pyramid Scene Parsing Network (PSNet), Feature Pyramid Network (FPN), Link Network (LinkNet), and Multi-scale Attention Network (MANet)) were adopted. FPN produced excellent results, with an Intersection Over Union (IoU) of (Formula presented.), an F1 score of (Formula presented.), a recall of (Formula presented.), and a Dice coefficient of 0.77. This demonstrates strong performance in terms of both segmentation accuracy and overlap metrics, with particularly robust results in balanced detection capability as shown by the high F1 score and Dice coefficient. This highlights how AI-generated medical images can improve colonoscopy analysis, which is critical for early colorectal cancer detection. © 2025 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105001396823"
"Wang, J.; Wang, K.; Yu, Y.; Lu, Y.; Xiao, W.; Sun, Z.; Liu, F.; Zou, Z.; Gao, Y.; Yang, L.; Zhou, H.-Y.; Miao, H.; Zhao, W.; Huang, L.; Zeng, L.; Guo, R.; Chong, I.; Deng, B.; Cheng, L.; Chen, X.; Luo, J.; Zhu, M.-H.; Baptista-Hon, D.; Monteiro, O.; Li, M.; Ke, Y.; Li, J.; Zeng, S.; Guan, T.; Zeng, J.; Xue, K.; Oermann, E.; Luo, H.; Yin, Y.; Zhang, K.; Qu, J.","Wang, Jinzhuo (56939741300); Wang, Kai (57226035688); Yu, Yunfang (57195628548); Lu, Yuxing (58317344100); Xiao, Wenchao (58875745000); Sun, Zhuo (57193117816); Liu, Fei (59263228600); Zou, Zixing (58941274200); Gao, Yuanxu (57205369493); Yang, Lei (59886015400); Zhou, Hong Yu (57218089143); Miao, Hanpei (57214444681); Zhao, Wenting (59247859400); Huang, Lisha (59472071800); Zeng, Lingchao (59472931900); Guo, Rui (59472253900); Chong, Ieng (58567812700); Deng, Boyu (59472764700); Cheng, Linling (57860169300); Chen, Xiaoniao (59472254000); Luo, Jing (57304774900); Zhu, Menghua (55777234400); Baptista-Hon, Daniel Tomas (54879352500); Monteiro, Olivia (57267314600); Li, Ming (56155003600); Ke, Yu (59472254100); Li, Jiahui (57201368416); Zeng, Simiao (57958434700); Guan, Taihua (58806085500); Zeng, Jin (58806115500); Xue, K. (55363996200); Oermann, Eric Karl (23973230500); Luo, Huiyan (7401480216); Yin, Yun (59585109900); Zhang, Kang (57211618844); Qu, Jia (57217610867)","56939741300; 57226035688; 57195628548; 58317344100; 58875745000; 57193117816; 59263228600; 58941274200; 57205369493; 59886015400; 57218089143; 57214444681; 59247859400; 59472071800; 59472931900; 59472253900; 58567812700; 59472764700; 57860169300; 59472254000; 57304774900; 55777234400; 54879352500; 57267314600; 56155003600; 59472254100; 57201368416; 57958434700; 58806085500; 58806115500; 55363996200; 23973230500; 7401480216; 59585109900; 57211618844; 57217610867","Self-improving generative foundation model for synthetic medical image generation and clinical applications","2025","Nature Medicine","31","2","6381","609","617","45","10.1038/s41591-024-03359-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212150789&doi=10.1038%2Fs41591-024-03359-y&partnerID=40&md5=949ee4d59f5f32f7558238994aaab9fd","In many clinical and research settings, the scarcity of high-quality medical imaging datasets has hampered the potential of artificial intelligence (AI) clinical applications. This issue is particularly pronounced in less common conditions, underrepresented populations and emerging imaging modalities, where the availability of diverse and comprehensive datasets is often inadequate. To address this challenge, we introduce a unified medical image–text generative model called MINIM that is capable of synthesizing medical images of various organs across various imaging modalities based on textual instructions. Clinician evaluations and rigorous objective measurements validate the high quality of MINIM’s synthetic images. MINIM exhibits an enhanced generative capability when presented with previously unseen data domains, demonstrating its potential as a generalist medical AI (GMAI). Our findings show that MINIM’s synthetic images effectively augment existing datasets, boosting performance across multiple medical applications such as diagnostics, report generation and self-supervised learning. On average, MINIM enhances performance by 12% for ophthalmic, 15% for chest, 13% for brain and 17% for breast-related tasks. Furthermore, we demonstrate MINIM’s potential clinical utility in the accurate prediction of HER2-positive breast cancer from MRI images. Using a large retrospective simulation analysis, we demonstrate MINIM’s clinical potential by accurately identifying targeted therapy-sensitive EGFR mutations using lung cancer computed tomography images, which could potentially lead to improved 5-year survival rates. Although these results are promising, further validation and refinement in more diverse and prospective settings would greatly enhance the model’s generalizability and robustness. © The Author(s), under exclusive licence to Springer Nature America, Inc. 2024.","Article","Final","","Scopus","2-s2.0-85212150789"
"Pappala, L.; Veesam, S.; Chattu, K.; Venkata Krishna, J.; Bodapati, J.; Tarakeswara Rao, B.","Pappala, Lalitha Kumari (59228638000); Veesam, Sai Babu (58942466500); Chattu, Kannaiah (58573743400); Venkata Krishna, Janapati (59552272300); Bodapati, Jyostna Devi (57209269087); Tarakeswara Rao, B. Tarakeswara (56716581900)","59228638000; 58942466500; 58573743400; 59552272300; 57209269087; 56716581900","Design of an Iterative Model for Incremental Enhancements in Quantum Image Processing Using Reinforcement Learning-Based Optimizations","2025","IEEE Access","13","","","20491","20511","3","10.1109/ACCESS.2025.3531407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216350572&doi=10.1109%2FACCESS.2025.3531407&partnerID=40&md5=38a725de0e3028ee59f9efccc00e879c","In this text we propose a collection of enhanced quantum methods that would drastically enhance the efficiency and accuracy of biomedical image processing. There are four key methodologies that have been proposed in this work: Quantum Support Vector Machines with Enhanced Feature Extraction, Quantum Generative Adversarial Networks for Data Augmentation, Quantum Entanglement and Correlation Analysis for Feature Detection, and Quantum-Enhanced Image Reconstruction for Noisy Data Samples. Q-SVM-EFE is a Quantum Support Vector Machine-based framework that incorporates advanced feature extraction to map classical image data into high-dimensional quantum states, which should capture intricate patterns and therefore be more accurate for classification. This approach scored more than 95 percent in terms of classification accuracy and tenfold increased the speed of training compared to classical SVMs. QGAN-DA generates high-quality synthetic images to alleviate the scarcity of labeled medical data. It trains a generator network through quantum circuits for the generation of new samples and a discriminator network for real image and sample classification, thus ensuring high diversity and quality in synthetic data with SSIM values above 0.90. QECA-FD applies quantum entanglement in the analysis of biomedical image correlations and is therefore very effective in detecting subtle features and anomalies. This resulted in over 95% sensitivity in anomaly detection and increased the speed of the correlation analysis by five times. QIR-ND enables enhanced image reconstruction from sullied or incomplete data through quantum noise reduction and reconstruction techniques. This new approach gave a PSNR greater than 40 dB and an eightfold improvement in reconstruction delays. © 2013 IEEE.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85216350572"
"Xiao, Z.; Pakrasi, H.B.; Chen, Y.; Tang, Y.J.","Xiao, Zhengyang (57217206305); Pakrasi, Himadri B. (7006603763); Chen, Yixin (57196271259); Tang, Yinjie (8639293100)","57217206305; 7006603763; 57196271259; 8639293100","Network for knowledge Organization (NEKO): An AI knowledge mining workflow for synthetic biology research","2025","Metabolic Engineering","87","","","60","67","6","10.1016/j.ymben.2024.11.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210356580&doi=10.1016%2Fj.ymben.2024.11.006&partnerID=40&md5=93c751f32185bc3cecbd049f890a30a6","Large language models (LLMs) can complete general scientific question-and-answer, yet they are constrained by their pretraining cut-off dates and lack the ability to provide specific, cited scientific knowledge. Here, we introduce Network for Knowledge Organization (NEKO), a workflow that uses LLM Qwen to extract knowledge through scientific literature text mining. When user inputs a keyword of interest, NEKO can generate knowledge graphs to link bioinformation entities and produce comprehensive summaries from PubMed search. NEKO significantly enhance LLM ability and has immediate applications in daily academic tasks such as education of young scientists, literature review, paper writing, experiment planning/troubleshooting, and new ideas/hypothesis generation. We exemplified this workflow's applicability through several case studies on yeast fermentation and cyanobacterial biorefinery. NEKO's output is more informative, specific, and actionable than GPT-4's zero-shot Q&A. NEKO offers flexible, lightweight local deployment options. NEKO democratizes artificial intelligence (AI) tools, making scientific foundation model more accessible to researchers without excessive computational power. © 2024 The Author(s)","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85210356580"
