PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Zhang, Y; Zhang, XF; Qi, XM; Wu, XY; Chen, F; Yang, GY; Fu, HZ				Zhang, Yuan; Zhang, Xinfeng; Qi, Xiaoming; Wu, Xinyu; Chen, Feng; Yang, Guanyu; Fu, Huazhu			Content Generation Models in Computational Pathology: A Comprehensive Survey on Methods, Applications, and Challenges	IEEE REVIEWS IN BIOMEDICAL ENGINEERING												Content generation modeling has emerged as a promising direction in computational pathology, offering capabilities such as data-efficient learning, synthetic data augmentation, and task-oriented generation across diverse diagnostic tasks. This review provides a comprehensive synthesis of recent progress in the field, organized into four key domains: image generation, text generation, molecular profile-morphology generation, and other specialized generation applications. By analyzing over 150 representative studies, we trace the evolution of content generation architectures-from early generative adversarial networks to recent advances in diffusion models and generative vision-language models. We further examine the datasets and evaluation protocols commonly used in this domain and highlight ongoing limitations, including challenges in generating high-fidelity whole slide images, clinical interpretability, and concerns related to the ethical and legal implications of synthetic data. The review concludes with a discussion of open challenges and prospective research directions, with an emphasis on developing integrated and clinically deployable generation systems. This work aims to provide a foundational reference for researchers and practitioners developing content generation models in computational pathology.					; wu, xinyu/LKJ-3687-2024; Fu, Huazhu/A-1411-2014	zhang, yuan/0000-0002-0762-7514; Qi, Xiaoming/0000-0002-3238-2002; 													1937-3333	1941-1189				2025 OCT 28	2025										10.1109/RBME.2025.3619086	http://dx.doi.org/10.1109/RBME.2025.3619086		OCT 2025						41150234					WOS:001606812000001
J	Moser, D; Bender, M; Sariyar, M				Moser, Denis; Bender, Matthias; Sariyar, Murat			A Pipeline for Automating Emergency Medicine Documentation Using LLMs with Retrieval-Augmented Text Generation	APPLIED ARTIFICIAL INTELLIGENCE												Accurate and efficient documentation of patient information is vital in emergency healthcare settings. Traditional manual documentation methods are often time-consuming and prone to errors, potentially affecting patient outcomes. Large Language Models (LLMs) offer a promising solution to enhance medical communication systems; however, their clinical deployment, particularly in non-English languages such as German, presents challenges related to content accuracy, clinical relevance, and data privacy. This study addresses these challenges by developing and evaluating an automated pipeline for emergency medical documentation in German. The research objectives include (1) generating synthetic dialogues with known ground truth data to create controlled datasets for evaluating NLP performance and (2) designing an innovative pipeline to retrieve essential clinical information from these dialogues. A subset of 100 anonymized patient records from the MIMIC-IV-ED dataset was selected, ensuring diversity in demographics, chief complaints, and conditions. A Retrieval-Augmented Generation (RAG) system extracted key nominal and numerical features using chunking, embedding, and dynamic prompts. Evaluation metrics included precision, recall, F1-score, and sentiment analysis. Initial results demonstrated high extraction accuracy, particularly in medication data (F1-scores: 86.21%-100%), though performance declined in nuanced clinical language, requiring further refinement for real-world emergency settings.																			0883-9514	1087-6545				DEC 31	2025	39	1							2519169	10.1080/08839514.2025.2519169	http://dx.doi.org/10.1080/08839514.2025.2519169								40755813					WOS:001511607200001
J	Lamy, FR; Daniulaityte, R; Nahhas, RW; Barratt, MJ; Smith, AG; Sheth, A; Martins, SS; Boyer, EW; Carlson, RG				Lamy, Francois R.; Daniulaityte, Raminta; Nahhas, Ramzi W.; Barratt, Monica J.; Smith, Alan G.; Sheth, Amit; Martins, Silvia S.; Boyer, Edward W.; Carlson, Robert G.			Increases in synthetic cannabinoids-related harms: Results from a longitudinal web-based content analysis	INTERNATIONAL JOURNAL OF DRUG POLICY												Background: Synthetic Cannabinoid Receptor Agonists (SCRA), also known as "K2" or "Spice," have drawn considerable attention due to their potential of abuse and harmful consequences. More research is needed to understand user experiences of SCRA-related effects. We use semi-automated information processing techniques through eDrugTrends platform to examine SCRA-related effects and their variations through a longitudinal content analysis of web-forum data. Method: English language posts from three drug-focused web-forums were extracted and analyzed between January 1st 2008 and September 30th 2015. Search terms are based on the Drug Use Ontology (DAO) created for this study (189 SCRA-related and 501 effect-related terms). EDrugTrends NLP-based text processing tools were used to extract posts mentioning SCRA and their effects. Generalized linear regression was used to fit restricted cubic spline functions of time to test whether the proportion of drug related posts that mention SCRA (and no other drug) and the proportion of these "SCRA-only" posts that mention SCRA effects have changed over time, with an adjustment for multiple testing. Results: 19,052 SCRA-related posts (Bluelight (n = 2782), Forum A (n = 3882), and Forum B (n = 12,388)) posted by 2543 international users were extracted. The most frequently mentioned effects were "getting high" (44.0%), "hallucinations" (10.8%), and "anxiety" (10.2%). The frequency of SCRA-only posts declined steadily over the study period. The proportions of SCRA-only posts mentioning positive effects (e.g., "High" and "Euphoria") steadily decreased, while the proportions of SCRA-only posts mentioning negative effects (e.g., "Anxiety," 'Nausea," "Overdose") increased over the same period. Conclusion: This study's findings indicate that the proportion of negative effects mentioned in web forum posts and linked to SCRA has increased over time, suggesting that recent generations of SCRA generate more harms. This is also one of the first studies to conduct automated content analysis of web forum data related to illicit drug use. (C) 2017 Elsevier B.V. All rights reserved.					LAMY, Francois/AFS-0816-2022; Sheth, Amit/ABC-4600-2020; smith, Alan/NGS-4737-2025; Boyer, Edward/AAF-3609-2020; Nahhas, Ramzi/AAT-4729-2021; Barratt, Monica/AAX-8698-2020; Martins, Silvia/C-9405-2014	LAMY, Francois/0000-0001-6542-1381; Sheth, Amit/0000-0002-0021-5293; Daniulaityte, Raminta/0000-0001-6507-3866; Barratt, Monica/0000-0002-1015-9379; Martins, Silvia/0000-0003-3059-9993													0955-3959	1873-4758				JUN	2017	44						121	129		10.1016/j.drugpo.2017.05.007	http://dx.doi.org/10.1016/j.drugpo.2017.05.007								28578250					WOS:000407870700014
J	Akbar, MU; Wang, WH; Eklund, A				Usman Akbar, Muhammad; Wang, Wuhao; Eklund, Anders			Beware of diffusion models for synthesizing medical images-a comparison with GANs in terms of memorizing brain MRI and chest x-ray images	MACHINE LEARNING-SCIENCE AND TECHNOLOGY												Diffusion models were initially developed for text-to-image generation and are now being utilized to generate high quality synthetic images. Preceded by generative adversarial networks (GANs), diffusion models have shown impressive results using various evaluation metrics. However, commonly used metrics such as Frechet inception distance and inception score are not suitable for determining whether diffusion models are simply reproducing the training images. Here we train StyleGAN and a diffusion model, using BRATS20, BRATS21 and a chest x-ray (CXR) pneumonia dataset, to synthesize brain MRI and CXR images, and measure the correlation between the synthetic images and all training images. Our results show that diffusion models are more likely to memorize the training images, compared to StyleGAN, especially for small datasets and when using 2D slices from 3D volumes. Researchers should be careful when using diffusion models (and to some extent GANs) for medical imaging, if the final goal is to share the synthetic images.					Eklund, Anders/G-5056-2011	Eklund, Anders/0000-0001-7061-7995														2632-2153				MAR 31	2025	6	1							015022	10.1088/2632-2153/ad9a3a	http://dx.doi.org/10.1088/2632-2153/ad9a3a													WOS:001408876900001
J	Pilgram, L; El Kababji, S; Liu, D; El Emam, K				Pilgram, Lisa; El Kababji, Samer; Liu, Dan; El Emam, Khaled			Magnitude and Impact of Hallucinations in Tabular Synthetic Health Data on Prognostic Machine Learning Models: Validation Study	JOURNAL OF MEDICAL INTERNET RESEARCH												Background: Generative artificial intelligence (AI) for tabular synthetic data generation (SDG) has significant potential to accelerate health care research and innovation. A critical limitation of generative AI, however, is hallucinations. Although this has been commonly observed in text-generating models, it may also occur in tabular SDG. Objective: This study aims to investigate the magnitude of hallucinations in tabular synthetic data, whether their frequency increases with training data complexity, and the extent to which they impact the utility of synthetic data for downstream prognostic machine learning (ML) modeling tasks. Methods: On the basis of 12 large and high-dimensional real-world health care datasets, 6354 training datasets of different complexity were created by varying the subset of variables included in each dataset. Synthetic data were generated using 7 different SDG models. Hallucinations were defined as synthetic records that did not exist in the population, and the hallucination rate (HR) was the proportion of hallucinations in a synthetic dataset. Classification was the downstream prognostic modeling task, conducted via an ML approach (light gradient boosted machine) and an artificial neural network (multilayer perceptron). Mixed-effects models were fitted to examine the relationship between training data complexity and the HR and the HR and the predictive performance of AI and ML models when trained on the synthetic data. Results: The HR ranged from 0.3% to 100% (median 99.1%, IQR 98.5%-100.0%) and increased with training data complexity. However, in most SDG models, the HR did not affect AI and ML prognostic model performance. In the SDG models in which a significant association was detected, the estimated effect was very small, with a maximum decrease in the area under the receiver operating characteristic curve of -0.0002 (95% CI -0.0003 to -0.0002, P<.001) in light gradient boosting machine and -0.0001 (95% CI -0.0002 to -0.0001, P=.002) in multilayer perceptron. Conclusions: These findings suggest that while hallucinations may be very common in synthetic tabular health data, they do not necessarily impair its utility for prognostic modeling.					EL KABABJI, SAMER/Q-8286-2018	EL KABABJI, SAMER/0000-0002-7642-2280; Pilgram, Lisa/0000-0002-1020-0650; Liu, Dan/0000-0001-9632-4736													1439-4456	1438-8871				AUG 18	2025	27								e77893	10.2196/77893	http://dx.doi.org/10.2196/77893								40825542					WOS:001553629600001
J	Lee, KH; Jang, S; Kim, GJ; Park, S; Kim, D; Kwon, OJ; Lee, JH; Kim, YH				Lee, Kye Hwa; Jang, Sujung; Kim, Grace Juyun; Park, Sukyoung; Kim, Doeun; Kwon, Oh Jin; Lee, Jae-Ho; Kim, Young-Hak			Large Language Models for Automating Clinical Trial Criteria Conversion to Observational Medical Outcomes Partnership Common Data Model Queries: Validation and Evaluation Study	JMIR MEDICAL INFORMATICS												Background: Real-world data-based feasibility assessments enhance clinical trial design, but automating eligibility criteria conversion to database queries is hindered by challenges related to ensuring high accuracy and generating clear, usable outputs. Objective: The aim of this study is to develop an automated system converting free-text eligibility criteria from ClinicalTrials.gov into Observational Medical Outcomes Partnership Common Data Model (OMOP CDM)-compatible Structured Query Language (SQL) queries and systematically evaluate hallucination patterns across multiple large language models (LLMs) to identify the optimal deployment strategies. Methods: Our system employs a three-stage preprocessing pipeline (segmentation, filtering, and simplification) achieving 58.2% token reduction while preserving clinical semantics. We compared GPT-4 concept mapping performance against USAGI using 357 clinical terms from 30 trials. For comprehensive evaluation, we analyzed 760 SQL generation attempts (19 trialsx8 LLMsx5 prompting strategies) using the SynPUF (Synthetic Public Use Files) dataset and validated selected queries against National COVID Cohort Collaborative reference concept sets using Asan Medical Center's OMOP CDM database. Results: GPT-4 achieved a 48.5% concept mapping accuracy versus USAGI's 32.0% (P<.001), with domain-specific performance ranging from 72.7% (drug) to 38.3% (measurement). Surprisingly, the open-source llama3: 8b model achieved the highest effective SQL rate (75.8%) compared to GPT-4 (45.3%), attributed to lower hallucination rates (21.1% vs 33.7%). The overall hallucination rate was 32.7%, with wrong domain assignments (34.2%) and placeholder insertions (28.7%) being the most common. Clinical validation revealed mixed performance: high concordance for type 1 diabetes (Jaccard=0.81), complete failure for pregnancy (Jaccard=0.00), and minimal overlap for type 2 diabetes (Jaccard=0.03), despite perfect overlap coefficients in both diabetes cases. Moderate performance was observed for uncontrolled hypertension (Jaccard=0.18). Conclusions: While LLMs can accelerate eligibility criteria transformation, hallucination rates of 21-50% necessitate careful model selection and validation strategies. Our findings challenge assumptions about model superiority, demonstrating that smaller, cost-effective models can outperform larger commercial alternatives. Future work should focus on hybrid approaches combining LLM capabilities with rule-based methods for handling complex clinical concepts.						Kim, Grace Juyun/0000-0002-4610-4994														2291-9694					2025	13								e71252	10.2196/71252	http://dx.doi.org/10.2196/71252								41100527					WOS:001604462300001
J	Chuang, YS; Sarkar, AR; Hsu, YC; Mohammed, N; Jiang, XQ				Chuang, Yao-Shun; Sarkar, Atiquer Rahman; Hsu, Yu-Chun; Mohammed, Noman; Jiang, Xiaoqian			Robust privacy amidst innovation with large language models through a critical assessment of the risks	JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION												Objective This study evaluates the integration of electronic health records (EHRs) and natural language processing (NLP) with large language models (LLMs) to enhance healthcare data management and patient care, focusing on using advanced language models to create secure, Health Insurance Portability and Accountability Act-compliant synthetic patient notes for global biomedical research.Materials and Methods The study used de-identified and re-identified versions of the MIMIC III dataset with GPT-3.5, GPT-4, and Mistral 7B to generate synthetic clinical notes. Text generation employed templates and keyword extraction for contextually relevant notes, with One-shot generation for comparison. Privacy was assessed by analyzing protected health information (PHI) occurrence and co-occurrence, while utility was evaluated by training an ICD-9 coder using synthetic notes. Text quality was measured using ROUGE (Recall-Oriented Understudy for Gisting Evaluation) and cosine similarity metrics to compare synthetic notes with source notes for semantic similarity.Results The analysis of PHI occurrence and text utility via the ICD-9 coding task showed that the keyword-based method had low risk and good performance. One-shot generation exhibited the highest PHI exposure and PHI co-occurrence, particularly in geographic location and date categories. The Normalized One-shot method achieved the highest classification accuracy. Re-identified data consistently outperformed de-identified data.Discussion Privacy analysis revealed a critical balance between data utility and privacy protection, influencing future data use and sharing.Conclusion This study shows that keyword-based methods can create synthetic clinical notes that protect privacy while retaining data usability, potentially improving clinical data sharing. The use of dummy PHIs to counter privacy attacks may offer better utility and privacy than traditional de-identification.					Sarkar, Atiquer/OIU-5421-2025; Jiang, Xiaoqian/K-6752-2012; Hsu, Yu-Chun/JEF-5013-2023	Jiang, Xiaoqian/0000-0001-9933-2205; Hsu, Yu-Chun/0000-0002-2386-7892; Sarkar, Atiquer Rahman/0000-0002-6909-2930													1067-5027	1527-974X				MAY	2025	32	5					885	892		10.1093/jamia/ocaf037	http://dx.doi.org/10.1093/jamia/ocaf037		MAR 2025						40112189					WOS:001448040200001
J	Rabaey, P; Heytens, S; Demeester, T				Rabaey, Paloma; Heytens, Stefan; Demeester, Thomas			SimSUM - simulated benchmark with structured and unstructured medical records	JOURNAL OF BIOMEDICAL SEMANTICS												Background Clinical information extraction, which involves structuring clinical concepts from unstructured medical text, remains a challenging problem that could benefit from the inclusion of tabular background information available in electronic health records. Existing open-source datasets lack explicit links between structured features and clinical concepts in the text, motivating the need for a new research dataset. Methods We introduce SimSUM a benchmark dataset of 10,000 simulated patient records that link unstructured clinical notes with structured background variables. Each record simulates a patient encounter in the domain of respiratory diseases and includes tabular data (e.g., symptoms, diagnoses, underlying conditions) generated from a Bayesian network whose structure and parameters are defined by domain experts. A large language model (GPT-4o) is prompted to generate a clinical note describing the encounter, including symptoms and relevant context. These notes are annotated with span-level symptom mentions. We conduct an expert evaluation to assess note quality and run baseline predictive models on both the tabular and textual data. Conclusion The SimSUM dataset is primarily designed to support research on clinical information extraction in the presence of tabular background variables, which can be linked through domain knowledge to concepts of interest to be extracted from the text-namely, symptoms in the case of SimSUM. Secondary uses include research on the automation of clinical reasoning over both tabular data and text, causal effect estimation in the presence of tabular and/or textual confounders, and multi-modal synthetic data generation. SimSUM is not intended for training clinical decision support systems or production-grade models, but rather to facilitate reproducible research in a simplified and controlled setting. The dataset is available at https://github.com/prabaey/SimSUM.					Heytens, stefan/KBC-5234-2024; Demeester, Thomas/I-6382-2012														2041-1480					DEC	2025	16	1							20	10.1186/s13326-025-00341-6	http://dx.doi.org/10.1186/s13326-025-00341-6								41413824					WOS:001643375800001
J	Sun, YQ; Tan, WM; Gu, ZY; He, RA; Chen, SY; Pang, M; Yan, B				Sun, Yuqi; Tan, Weimin; Gu, Zhuoyao; He, Ruian; Chen, Siyuan; Pang, Miao; Yan, Bo			A data-efficient strategy for building high-performing medical foundation models	NATURE BIOMEDICAL ENGINEERING												Foundation models are pretrained on massive datasets. However, collecting medical datasets is expensive and time-consuming, and raises privacy concerns. Here we show that synthetic data generated via conditioning with disease labels can be leveraged for building high-performing medical foundation models. We pretrained a retinal foundation model, first with approximately one million synthetic retinal images with physiological structures and feature distribution consistent with real counterparts, and then with only 16.7% of the 904,170 real-world colour fundus photography images required in a recently reported retinal foundation model (RETFound). The data-efficient model performed as well or better than RETFound across nine public datasets and four diagnostic tasks; and for diabetic-retinopathy grading, it used only 40% of the expert-annotated training data used by RETFound. We also support the generalizability of the data-efficient strategy by building a classifier for the detection of tuberculosis on chest X-ray images. The text-conditioned generation of synthetic data may enhance the performance and generalization of medical foundation models.					He, Ruian/KYP-8625-2024; Bo, Yan/MIQ-0155-2025	He, Ruian/0000-0001-9598-3043; 													2157-846X					APR	2025	9	4								10.1038/s41551-025-01365-0	http://dx.doi.org/10.1038/s41551-025-01365-0		MAR 2025						40044818					WOS:001437486400001
J	Arshed, MA; Mumtaz, S; Gherghina, SC; Urooj, N; Ahmed, S; Dewi, C				Arshed, Muhammad Asad; Mumtaz, Shahzad; Gherghina, Stefan Cristian; Urooj, Neelam; Ahmed, Saeed; Dewi, Christine			A Deep Learning Model for Detecting Fake Medical Images to Mitigate Financial Insurance Fraud	COMPUTATION												Artificial Intelligence and Deepfake Technologies have brought a new dimension to the generation of fake data, making it easier and faster than ever before-this fake data could include text, images, sounds, videos, etc. This has brought new challenges that require the faster development of tools and techniques to avoid fraudulent activities at pace and scale. Our focus in this research study is to empirically evaluate the use and effectiveness of deep learning models such as Convolutional Neural Networks (CNNs) and Patch-based Neural Networks in the context of successful identification of real and fake images. We chose the healthcare domain as a potential case study where the fake medical data generation approach could be used to make false insurance claims. For this purpose, we obtained publicly available skin cancer data and used recently introduced stable diffusion approaches-a more effective technique than prior approaches such as Generative Adversarial Network (GAN)-to generate fake skin cancer images. To the best of our knowledge, and based on the literature review, this is one of the few research studies that uses images generated using stable diffusion along with real image data. As part of the exploratory analysis, we analyzed histograms of fake and real images using individual color channels and averaged across training and testing datasets. The histogram analysis demonstrated a clear change by shifting the mean and overall distribution of both real and fake images (more prominent in blue and green) in the training data whereas, in the test data, both means were different from the training data, so it appears to be non-trivial to set a threshold which could give better predictive capability. We also conducted a user study to observe where the naked eye could identify any patterns for classifying real and fake images, and the accuracy of the test data was observed to be 68%. The adoption of deep learning predictive approaches (i.e., patch-based and CNN-based) has demonstrated similar accuracy (similar to 100%) in training and validation subsets of the data, and the same was observed for the test subset with and without StratifiedKFold (k = 3). Our analysis has demonstrated that state-of-the-art exploratory and deep-learning approaches are effective enough to detect images generated from stable diffusion vs. real images.					Arshed, Muhammad Asad/ABB-6586-2022; Ahmed, Saeed/NRX-8800-2025; Dewi, Christine/AAL-9605-2021; Gherghina, Ştefan Cristian/J-3339-2012	Ahmed, Saeed/0000-0001-6910-7613; Arshed, M Asad/0000-0002-5583-1253; Dewi, Christine/0000-0002-1284-234X; Mumtaz, Shahzad/0000-0003-2606-2405; Gherghina, Ştefan Cristian/0000-0003-2911-6480														2079-3197				SEP	2024	12	9							173	10.3390/computation12090173	http://dx.doi.org/10.3390/computation12090173													WOS:001326142300001
J	Abdullakutty, F; Akbari, Y; Al-Maadeed, S; Bouridane, A; Hamoudi, RR				Abdullakutty, Faseela; Akbari, Younes; Al-Maadeed, Somaya; Bouridane, Ahmed; Hamoudi, Rifat Rifat			Enhancing the Prediction of Breast Cancer Progression Through Multi-modal Data Transformation	COGNITIVE COMPUTATION												The ability to predict breast cancer metastases is essential for making effective clinical decisions and managing patients. Traditional models predominantly rely on structured clinical data, which often lacks essential contextual details, limiting their predictive accuracy. In order to address this limitation, a multi-modal approach is introduced in which structured data is transformed into unstructured text, while contextual richness is preserved. Using this text, synthetic images are generated across three key diagnostic modalities, histopathology, mammography, and ultrasound, to enhance predictive capabilities. Based on converted text data, a pre-trained diffusion model was used to generate synthetic medical images in histopathology, mammography, and ultrasound modalities. The impact of a variety of text description variants on image quality and metastasis prediction was assessed. Comprehensive tumor descriptions or a combination of histological type and differentiation status were the most effective generation strategies. A comparison was conducted between three prediction approaches: a unimodal approach, an early fusion approach based on concatenation, and the Multi Co-Guided Attention (MCGA) approach. Through mutual attention, MCGA enhances feature alignment by addressing inter- and intra-modal heterogeneity and capturing complex relationships. Unimodal and multi-modal methods were evaluated with the application of SMOTE to mitigate the impact of data imbalance. Multi-modal fusion significantly outperforms unimodal methods, especially when class imbalances are mitigated by using SMOTE. When SMOTE was applied, Ultrasound+BERT achieved the highest level of accuracy (0.90), followed by Histopathology+BERT (0.88), and Mammogram+BERT (0.88). As compared to early fusion, MCGA demonstrated better class balance and improved minority class detection. Incorporating unstructured text with synthetic imaging modalities improves the accuracy of metastasis prediction by preserving contextual information. A MCGA fusion is particularly effective in ensuring balanced class performance, particularly for rectifying class imbalances. Through this approach, the complementary strengths of textual and visual data are leveraged to overcome limitations in multi-modality integration. These results demonstrate the potential for advancing the prediction of breast cancer metastasis, offering a more robust and context-aware framework for clinical decision-making.																			1866-9956	1866-9964				JUN	2025	17	3							114	10.1007/s12559-025-10474-6	http://dx.doi.org/10.1007/s12559-025-10474-6													WOS:001503346700002
J	Bluethgen, C; Chambon, P; Delbrouck, JB; van der Sluijs, R; Polacin, M; Chaves, JMZ; Abraham, TM; Purohit, S; Langlotz, CP; Chaudhari, AS				Bluethgen, Christian; Chambon, Pierre; Delbrouck, Jean-Benoit; van der Sluijs, Rogier; Polacin, Malgorzata; Zambrano Chaves, Juan Manuel; Abraham, Tanishq Mathew; Purohit, Shivanshu; Langlotz, Curtis P.; Chaudhari, Akshay S.			A vision-language foundation model for the generation of realistic chest X-ray images	NATURE BIOMEDICAL ENGINEERING												The paucity of high-quality medical imaging datasets could be mitigated by machine learning models that generate compositionally diverse images that faithfully represent medical concepts and pathologies. However, large vision-language models are trained on natural images, and the diversity distribution of the generated images substantially differs from that of medical images. Moreover, medical language involves specific and semantically rich vocabulary. Here we describe a domain-adaptation strategy for large vision-language models that overcomes distributional shifts. Specifically, by leveraging publicly available datasets of chest X-ray images and the corresponding radiology reports, we adapted a latent diffusion model pre-trained on pairs of natural images and text descriptors to generate diverse and visually plausible synthetic chest X-ray images (as confirmed by board-certified radiologists) whose appearance can be controlled with free-form medical text prompts. The domain-adaptation strategy for the text-conditioned synthesis of medical images can be used to augment training datasets and is a viable alternative to the sharing of real medical images for model training and fine-tuning. A latent diffusion model pre-trained on pairs of natural images and text descriptors can be adapted to generate diverse and visually plausible synthetic chest X-ray images whose appearance can be controlled with free-form medical text prompts.					Blüthgen, Christian/LFJ-7963-2024; Chaudhari, Akshay/ABE-1734-2021; Chambon, Pierre/HSI-0354-2023	Blüthgen, Christian/0000-0001-7321-5676; Zambrano Chaves, Juan Manuel/0000-0002-7274-8072; Langlotz, Curtis/0000-0002-8972-8051; Chaudhari, Akshay/0000-0002-3667-6796; Abraham, Tanishq/0000-0002-9590-391X; 													2157-846X					2024 AUG 26	2024										10.1038/s41551-024-01246-y	http://dx.doi.org/10.1038/s41551-024-01246-y		AUG 2024						39187663					WOS:001297787500001
J	Dai, F; Yao, SQ; Wang, M; Zhu, YC; Qiu, XJ; Sun, P; Qiu, C; Yin, JS; Shen, GT; Sun, JJ; Wang, MF; Wang, Y; Yang, ZY; Sang, JF; Wang, XL; Sun, FY; Cai, W; Zhang, XC; Lu, H				Dai, Fang; Yao, Siqiong; Wang, Min; Zhu, Yicheng; Qiu, Xiangjun; Sun, Peng; Qiu, Cheng; Yin, Jisheng; Shen, Guangtai; Sun, Jingjing; Wang, Maofeng; Wang, Yun; Yang, Zheyu; Sang, Jianfeng; Wang, Xiaolei; Sun, Fenyong; Cai, Wei; Zhang, Xingcai; Lu, Hui			Improving AI models for rare thyroid cancer subtype by text guided diffusion models	NATURE COMMUNICATIONS												Artificial intelligence applications in oncology imaging often struggle with diagnosing rare tumors. We identify significant gaps in detecting uncommon thyroid cancer types with ultrasound, where scarce data leads to frequent misdiagnosis. Traditional augmentation strategies do not capture the unique disease variations, hindering model training and performance. To overcome this, we propose a text-driven generative method that fuses clinical insights with image generation, producing synthetic samples that realistically reflect rare subtypes. In rigorous evaluations, our approach achieves substantial gains in diagnostic metrics, surpasses existing methods in authenticity and diversity measures, and generalizes effectively to other private and public datasets with various rare cancers. In this work, we demonstrate that text-guided image augmentation substantially enhances model accuracy and robustness for rare tumor detection, offering a promising avenue for more reliable and widespread clinical adoption.					zhang, xingcai/AAK-8496-2021; dai, fangfang/OIR-5119-2025; Yang, Zheyu/GRR-2329-2022; Lu, Hui/K-3264-2019; Wang, Min/AAH-6782-2020	zhang, xingcai/0000-0001-7114-1095; 														2041-1723				MAY 13	2025	16	1							4449	10.1038/s41467-025-59478-8	http://dx.doi.org/10.1038/s41467-025-59478-8								40360460					WOS:001492295900019
J	Lee, SH				Lee, Scott H.			Natural language generation for electronic health records	NPJ DIGITAL MEDICINE												One broad goal of biomedical informatics is to generate fully-synthetic, faithfully representative electronic health records (EHRs) to facilitate data sharing between healthcare providers and researchers and promote methodological research. A variety of methods existing for generating synthetic EHRs, but they are not capable of generating unstructured text, like emergency department (ED) chief complaints, history of present illness, or progress notes. Here, we use the encoder-decoder model, a deep learning algorithm that features in many contemporary machine translation systems, to generate synthetic chief complaints from discrete variables in EHRs, like age group, gender, and discharge diagnosis. After being trained end-to-end on authentic records, the model can generate realistic chief complaint text that appears to preserve the epidemiological information encoded in the original record-sentence pairs. As a side effect of the model's optimization goal, these synthetic chief complaints are also free of relatively uncommon abbreviation and misspellings, and they include none of the personally identifiable information (PII) that was in the training data, suggesting that this model may be used to support the de-identification of text in EHRs. When combined with algorithms like generative adversarial networks (GANs), our model could be used to generate fully-synthetic EHRs, allowing healthcare providers to share faithful representations of multimodal medical data without compromising patient privacy. This is an important advance that we hope will facilitate the development of machine-learning methods for clinical decision support, disease surveillance, and other data-hungry applications in biomedical informatics.					Ma, Yinji/F-6575-2012; huang, yonggang/O-6236-2019; Rogers, John/L-2798-2016; Ghaffari, Roozbeh/ABD-6718-2021; MUTLU, HAKAN/A-2329-2016; Li, Kan/U-8823-2019	Lee, Stephen/0000-0002-8521-8652; Li, Kan/0000-0003-4864-3446; Lee, Scott/0000-0003-4584-6758													2398-6352					NOV 19	2018	1								63	10.1038/s41746-018-0070-0	http://dx.doi.org/10.1038/s41746-018-0070-0								31304288					WOS:000450942800001
J	Lu, ZY; Hu, T; Oda, M; Fuse, Y; Saito, R; Jinzaki, M; Mori, K				Lu, Zhongyang; Hu, Tao; Oda, Masahiro; Fuse, Yutaro; Saito, Ryuta; Jinzaki, Masahiro; Mori, Kensaku			Synthetic data generation with Worley-Perlin diffusion for robust subarachnoid hemorrhage detection in imbalanced CT Datasets	INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY												Purpose:In this paper, we propose a novel generative model to produce high-quality SAH samples, enhancing SAH CT detection performance in imbalanced datasets. Previous methods, such as cost-sensitive learning and previous diffusion models, suffer from overfitting or noise-induced distortion, limiting their effectiveness. Accurate SAH sample generation is crucial for better detection.Methods:We propose the Worley-Perlin Diffusion Model (WPDM), leveraging Worley-Perlin noise to synthesize diverse, high-quality SAH images. WPDM addresses limitations of Gaussian noise (homogeneity) and Simplex noise (distortion), enhancing robustness for generating SAH images. Additionally, WPDMFast\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\hbox {WPDM}_{\text {Fast}}$$\end{document} optimizes generation speed without compromising quality.Results:WPDM effectively improved classification accuracy in datasets with varying imbalance ratios. Notably, a classifier trained with WPDM-generated samples achieved an F1-score of 0.857 on a 1:36 imbalance ratio, surpassing the state of the art by 2.3 percentage points.Conclusion:WPDM overcomes the limitations of Gaussian and Simplex noise-based models, generating high-quality, realistic SAH images. It significantly enhances classification performance in imbalanced settings, providing a robust solution for SAH CT detection.					Fuse, Yutaro/MCJ-1877-2025	Fuse, Yutaro/0000-0001-9402-8079													1861-6410	1861-6429				2025 SEP 2	2025										10.1007/s11548-025-03482-2	http://dx.doi.org/10.1007/s11548-025-03482-2		SEP 2025						40892193					WOS:001563786100001
