PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34713050","The Use of Synthetic Electronic Health Record Data and Deep Learning to Improve Timing of High-Risk Heart Failure Surgical Intervention by Predicting Proximity to Catastrophic Decompensation","Guo A, Foraker RE, MacGregor RM, Masood FM, Cupps BP, Pasque MK.","Front Digit Health. 2020 Dec 7;2:576945. doi: 10.3389/fdgth.2020.576945. eCollection 2020.","Guo A","Front Digit Health","2020","2021/10/29","PMC8521851","","10.3389/fdgth.2020.576945"
"36121943","Multi-Modal Understanding and Generation for Medical Images and Text via Vision-Language Pre-Training","Moon JH, Lee H, Shin W, Kim YH, Choi E.","IEEE J Biomed Health Inform. 2022 Dec;26(12):6070-6080. doi: 10.1109/JBHI.2022.3207502. Epub 2022 Dec 7.","Moon JH","IEEE J Biomed Health Inform","2022","2022/09/19","","","10.1109/JBHI.2022.3207502"
"33822095","The impact of electronic health record-integrated patient-generated health data on clinician burnout","Ye J.","J Am Med Inform Assoc. 2021 Apr 23;28(5):1051-1056. doi: 10.1093/jamia/ocab017.","Ye J","J Am Med Inform Assoc","2021","2021/04/06","PMC8068436","","10.1093/jamia/ocab017"
"29062915","Electronic health record and genome-wide genetic data in Generation Scotland participants","Kerr SM, Campbell A, Marten J, Vitart V, McIntosh AM, Porteous DJ, Hayward C.","Wellcome Open Res. 2017 Sep 18;2:85. doi: 10.12688/wellcomeopenres.12600.1. eCollection 2017.","Kerr SM","Wellcome Open Res","2017","2017/10/25","PMC5645708","","10.12688/wellcomeopenres.12600.1"
"36380246","DataSifterText: Partially Synthetic Text Generation for Sensitive Clinical Notes","Zhou N, Wu Q, Wu Z, Marino S, Dinov ID.","J Med Syst. 2022 Nov 16;46(12):96. doi: 10.1007/s10916-022-01880-6.","Zhou N","J Med Syst","2022","2022/11/15","PMC10111580","NIHMS1885013","10.1007/s10916-022-01880-6"
"38875595","Generating Synthetic Electronic Health Record Data Using Generative Adversarial Networks: Tutorial","Yan C, Zhang Z, Nyemba S, Li Z.","JMIR AI. 2024 Apr 22;3:e52615. doi: 10.2196/52615.","Yan C","JMIR AI","2024","2024/06/14","PMC11074891","","10.2196/52615"
"37310778","Improving an Electronic Health Record-Based Clinical Prediction Model Under Label Deficiency: Network-Based Generative Adversarial Semisupervised Approach","Li R, Tian Y, Shen Z, Li J, Li J, Ding K, Li J.","JMIR Med Inform. 2023 Jun 13;11:e47862. doi: 10.2196/47862.","Li R","JMIR Med Inform","2023","2023/06/13","PMC10337516","","10.2196/47862"
"36427233","The Generation of a Lung Cancer Health Factor Distribution Using Patient Graphs Constructed From Electronic Medical Records: Retrospective Study","Chen A, Huang R, Wu E, Han R, Wen J, Li Q, Zhang Z, Shen B.","J Med Internet Res. 2022 Nov 25;24(11):e40361. doi: 10.2196/40361.","Chen A","J Med Internet Res","2022","2022/11/25","PMC9736747","","10.2196/40361"
"39222376","Reliable generation of privacy-preserving synthetic electronic health record time series via diffusion models","Tian M, Chen B, Guo A, Jiang S, Zhang AR.","J Am Med Inform Assoc. 2024 Nov 1;31(11):2529-2539. doi: 10.1093/jamia/ocae229.","Tian M","J Am Med Inform Assoc","2024","2024/09/02","PMC11491591","","10.1093/jamia/ocae229"
"34457148","Generative Adversarial Networks for Creating Synthetic Free-Text Medical Data: A Proposal for Collaborative Research and Re-use of Machine Learning Models","Kasthurirathne SN, Dexter G, Grannis SJ.","AMIA Jt Summits Transl Sci Proc. 2021 May 17;2021:335-344. eCollection 2021.","Kasthurirathne SN","AMIA Jt Summits Transl Sci Proc","2021","2021/08/30","PMC8378601","",""
"36843925","Neural text generation in regulatory medical writing","Meyer C, Adkins D, Pal K, Galici R, Garcia-Agundez A, Eickhoff C.","Front Pharmacol. 2023 Feb 10;14:1086913. doi: 10.3389/fphar.2023.1086913. eCollection 2023.","Meyer C","Front Pharmacol","2023","2023/02/27","PMC9950092","","10.3389/fphar.2023.1086913"
"35854713","Integrating Patient-generated Digital Health Data into Electronic Health Records (EHRs) in Ambulatory Care Settings: EHR Vendor Survey and Interviews","Shaw RJ, Boazak M, Tiase V, Porter G, Wosik J, Bumatay S, Michaels L, Stone J, Cohen D, Dolor R.","AMIA Jt Summits Transl Sci Proc. 2022 May 23;2022:439-445. eCollection 2022.","Shaw RJ","AMIA Jt Summits Transl Sci Proc","2022","2022/07/20","PMC9285170","",""
"35835447","Medical Text Prediction and Suggestion Using Generative Pretrained Transformer Models with Dental Medical Notes","Sirrianni J, Sezgin E, Claman D, Linwood SL.","Methods Inf Med. 2022 Dec;61(5-06):195-200. doi: 10.1055/a-1900-7351. Epub 2022 Jul 14.","Sirrianni J","Methods Inf Med","2022","2022/07/14","","","10.1055/a-1900-7351"
"31140446","Development of Comprehensive Personal Health Records Integrating Patient-Generated Health Data Directly From Samsung S-Health and Apple Health Apps: Retrospective Cross-Sectional Observational Study","Jung SY, Kim JW, Hwang H, Lee K, Baek RM, Lee HY, Yoo S, Song W, Han JS.","JMIR Mhealth Uhealth. 2019 May 28;7(5):e12691. doi: 10.2196/12691.","Jung SY","JMIR Mhealth Uhealth","2019","2019/05/30","PMC6658253","","10.2196/12691"
"35440925","The Next-Generation Electronic Health Record in the ICU: A Focus on User-Technology Interface to Optimize Patient Safety and Quality","Jalilian L, Khairat S.","Perspect Health Inf Manag. 2022 Jan 1;19(1):1g. eCollection 2022 Winter.","Jalilian L","Perspect Health Inf Manag","2022","2022/04/20","PMC9013229","",""
"40187356","MetaGP: A generative foundation model integrating electronic health records and multimodal imaging for addressing unmet clinical needs","Liu F, Zhou H, Wang K, Yu Y, Gao Y, Sun Z, Liu S, Sun S, Zou Z, Li Z, Li B, Miao H, Liu Y, Hou T, Fok M, Patil NG, Xue K, Li T, Oermann E, Yin Y, Duan L, Qu J, Huang X, Jin S, Zhang K.","Cell Rep Med. 2025 Apr 15;6(4):102056. doi: 10.1016/j.xcrm.2025.102056. Epub 2025 Apr 4.","Liu F","Cell Rep Med","2025","2025/04/05","PMC12047458","","10.1016/j.xcrm.2025.102056"
"32721028","Validity of Medical Record Abstraction and Electronic Health Record-Generated Reports to Assess Performance on Cardiovascular Quality Measures in Primary Care","Homco J, Carabin H, Nagykaldi Z, Garwe T, Duffy FD, Kendrick D, Martinez S, Zhao YD, Stoner J.","JAMA Netw Open. 2020 Jul 1;3(7):e209411. doi: 10.1001/jamanetworkopen.2020.9411.","Homco J","JAMA Netw Open","2020","2020/07/29","PMC7388024","","10.1001/jamanetworkopen.2020.9411"
"30445220","An unsupervised and customizable misspelling generator for mining noisy health-related text sources","Sarker A, Gonzalez-Hernandez G.","J Biomed Inform. 2018 Dec;88:98-107. doi: 10.1016/j.jbi.2018.11.007. Epub 2018 Nov 13.","Sarker A","J Biomed Inform","2018","2018/11/17","PMC6322919","NIHMS1514343","10.1016/j.jbi.2018.11.007"
"37244963","Generating synthetic mixed-type longitudinal electronic health records for artificial intelligent applications","Li J, Cairns BJ, Li J, Zhu T.","NPJ Digit Med. 2023 May 27;6(1):98. doi: 10.1038/s41746-023-00834-7.","Li J","NPJ Digit Med","2023","2023/05/27","PMC10224668","","10.1038/s41746-023-00834-7"
"39625719","Developing and Evaluating Large Language Model-Generated Emergency Medicine Handoff Notes","Hartman V, Zhang X, Poddar R, McCarty M, Fortenko A, Sholle E, Sharma R, Campion T Jr, Steel PAD.","JAMA Netw Open. 2024 Dec 2;7(12):e2448723. doi: 10.1001/jamanetworkopen.2024.48723.","Hartman V","JAMA Netw Open","2024","2024/12/03","PMC11615705","","10.1001/jamanetworkopen.2024.48723"
"30535151","Synthesizing electronic health records using improved generative adversarial networks","Baowaly MK, Lin CC, Liu CL, Chen KT.","J Am Med Inform Assoc. 2019 Mar 1;26(3):228-241. doi: 10.1093/jamia/ocy142.","Baowaly MK","J Am Med Inform Assoc","2019","2018/12/12","PMC7647178","","10.1093/jamia/ocy142"
"34508578","Desiderata for the development of next-generation electronic health record phenotype libraries","Chapman M, Mumtaz S, Rasmussen LV, Karwath A, Gkoutos GV, Gao C, Thayer D, Pacheco JA, Parkinson H, Richesson RL, Jefferson E, Denaxas S, Curcin V.","Gigascience. 2021 Sep 11;10(9):giab059. doi: 10.1093/gigascience/giab059.","Chapman M","Gigascience","2021","2021/09/11","PMC8434766","","10.1093/gigascience/giab059"
"34272955","Are synthetic clinical notes useful for real natural language processing tasks: A case study on clinical entity recognition","Li J, Zhou Y, Jiang X, Natarajan K, Pakhomov SV, Liu H, Xu H.","J Am Med Inform Assoc. 2021 Sep 18;28(10):2193-2201. doi: 10.1093/jamia/ocab112.","Li J","J Am Med Inform Assoc","2021","2021/07/17","PMC8449609","","10.1093/jamia/ocab112"
"35714549","Real-world implementation evaluation of an electronic health record-integrated consumer informatics tool that collects patient-generated contextual data","Holt JM, Spanbauer C, Cusatis R, Winn AN, Talsma A, Asan O, Somai M, Hanson R, Moore J, Makoul G, Crotty BH.","Int J Med Inform. 2022 Sep;165:104810. doi: 10.1016/j.ijmedinf.2022.104810. Epub 2022 Jun 11.","Holt JM","Int J Med Inform","2022","2022/06/17","","","10.1016/j.ijmedinf.2022.104810"
"37227772","Generate Analysis-Ready Data for Real-world Evidence: Tutorial for Harnessing Electronic Health Records With Advanced Informatic Technologies","Hou J, Zhao R, Gronsbell J, Lin Y, Bonzel CL, Zeng Q, Zhang S, Beaulieu-Jones BK, Weber GM, Jemielita T, Wan SS, Hong C, Cai T, Wen J, Ayakulangara Panickan V, Liaw KL, Liao K, Cai T.","J Med Internet Res. 2023 May 25;25:e45662. doi: 10.2196/45662.","Hou J","J Med Internet Res","2023","2023/05/25","PMC10251230","","10.2196/45662"
"37535812","The value of parental medical records for the prediction of diabetes and cardiovascular disease: a novel method for generating and incorporating family histories","Barak-Corren Y, Tsurel D, Keidar D, Gofer I, Shahaf D, Leventer-Roberts M, Barda N, Reis BY.","J Am Med Inform Assoc. 2023 Nov 17;30(12):1915-1924. doi: 10.1093/jamia/ocad154.","Barak-Corren Y","J Am Med Inform Assoc","2023","2023/08/03","PMC10654871","","10.1093/jamia/ocad154"
"34141876","dxpr: an R package for generating analysis-ready data from electronic health records-diagnoses and procedures","Tseng YJ, Chiu HJ, Chen CJ.","PeerJ Comput Sci. 2021 May 26;7:e520. doi: 10.7717/peerj-cs.520. eCollection 2021.","Tseng YJ","PeerJ Comput Sci","2021","2021/06/18","PMC8176530","","10.7717/peerj-cs.520"
"37831597","Technical note: Evaluation of deep learning based synthetic CTs clinical readiness for dose and NTCP driven head and neck adaptive proton therapy","de Koster RJC, Thummerer A, Scandurra D, Langendijk JA, Both S.","Med Phys. 2023 Dec;50(12):8023-8033. doi: 10.1002/mp.16782. Epub 2023 Oct 13.","de Koster RJC","Med Phys","2023","2023/10/13","","","10.1002/mp.16782"
"36699740","Structured deep embedding model to generate composite clinical indices from electronic health records for early detection of pancreatic cancer","Park J, Artin MG, Lee KE, May BL, Park M, Hur C, Tatonetti NP.","Patterns (N Y). 2022 Dec 6;4(1):100636. doi: 10.1016/j.patter.2022.100636. eCollection 2023 Jan 13.","Park J","Patterns (N Y)","2022","2023/01/26","PMC9868652","","10.1016/j.patter.2022.100636"
"30409336","Exchanging personal health data with electronic health records: A standardized information model for patient generated health data and observations of daily living","Plastiras P, O'Sullivan D.","Int J Med Inform. 2018 Dec;120:116-125. doi: 10.1016/j.ijmedinf.2018.10.006. Epub 2018 Oct 16.","Plastiras P","Int J Med Inform","2018","2018/11/10","","","10.1016/j.ijmedinf.2018.10.006"
"38002365","A-GSTCN: An Augmented Graph Structural-Temporal Convolution Network for Medication Recommendation Based on Electronic Health Records","Yue W, Wang M, Zhang L, Zhang L, Huang J, Wan J, Xiong N, Vasilakos AV.","Bioengineering (Basel). 2023 Oct 24;10(11):1241. doi: 10.3390/bioengineering10111241.","Yue W","Bioengineering (Basel)","2023","2023/11/25","PMC10669740","","10.3390/bioengineering10111241"
"38126964","Developing electronic health record-based measures of the 4Ms to support implementation and evidence generation for Age-Friendly Health Systems","Thombley RL, Rogers SE, Adler-Milstein J.","J Am Geriatr Soc. 2024 Mar;72(3):882-891. doi: 10.1111/jgs.18722. Epub 2023 Dec 21.","Thombley RL","J Am Geriatr Soc","2024","2023/12/21","","","10.1111/jgs.18722"
"35508198","Generating and Reporting Electronic Clinical Quality Measures from Electronic Health Records: Strategies from EvidenceNOW Cooperatives","Richardson JE, Rasmussen LV, Dorr DA, Sirkin JT, Shelley D, Rivera A, Wu W, Cykert S, Cohen DJ, Kho AN.","Appl Clin Inform. 2022 Mar;13(2):485-494. doi: 10.1055/s-0042-1748145. Epub 2022 May 4.","Richardson JE","Appl Clin Inform","2022","2022/05/04","PMC9068273","","10.1055/s-0042-1748145"
"36787325","Development of a data platform for monitoring personal health records in Japan: The Sustaining Health by Integrating Next-generation Ecosystems (SHINE) Study","Fukuda H, Murata F, Azuma S, Fujimoto M, Kudo S, Kobayashi Y, Saho K, Nakahara K, Ono R.","PLoS One. 2023 Feb 14;18(2):e0281512. doi: 10.1371/journal.pone.0281512. eCollection 2023.","Fukuda H","PLoS One","2023","2023/02/14","PMC9928020","","10.1371/journal.pone.0281512"
"37750374","GPTZero Performance in Identifying Artificial Intelligence-Generated Medical Texts: A Preliminary Study","Habibzadeh F.","J Korean Med Sci. 2023 Sep 25;38(38):e319. doi: 10.3346/jkms.2023.38.e319.","Habibzadeh F","J Korean Med Sci","2023","2023/09/26","PMC10519776","","10.3346/jkms.2023.38.e319"
"39949499","PromptEHR: Conditional Electronic Healthcare Records Generation with Prompt Learning","Wang Z, Sun J.","Proc Conf Empir Methods Nat Lang Process. 2022 Dec;2022:2873-2885. doi: 10.18653/v1/2022.emnlp-main.185.","Wang Z","Proc Conf Empir Methods Nat Lang Process","2022","2025/02/14","PMC11824924","NIHMS2012095","10.18653/v1/2022.emnlp-main.185"
"37884948","The augmented value of using clinical notes in semi-automated surveillance of deep surgical site infections after colorectal surgery","Verberk JDM, van der Werff SD, Weegar R, Henriksson A, Richir MC, Buchli C, van Mourik MSM, Nauclér P.","Antimicrob Resist Infect Control. 2023 Oct 26;12(1):117. doi: 10.1186/s13756-023-01316-x.","Verberk JDM","Antimicrob Resist Infect Control","2023","2023/10/26","PMC10604406","","10.1186/s13756-023-01316-x"
"31192360","Bridging the integration gap between patient-generated blood glucose data and electronic health records","Lewinski AA, Drake C, Shaw RJ, Jackson GL, Bosworth HB, Oakes M, Gonzales S, Jelesoff NE, Crowley MJ.","J Am Med Inform Assoc. 2019 Jul 1;26(7):667-672. doi: 10.1093/jamia/ocz039.","Lewinski AA","J Am Med Inform Assoc","2019","2019/06/14","PMC7647207","","10.1093/jamia/ocz039"
"38030638","TransformEHR: transformer-based encoder-decoder generative model to enhance prediction of disease outcomes using electronic health records","Yang Z, Mitra A, Liu W, Berlowitz D, Yu H.","Nat Commun. 2023 Nov 29;14(1):7857. doi: 10.1038/s41467-023-43715-z.","Yang Z","Nat Commun","2023","2023/11/29","PMC10687211","","10.1038/s41467-023-43715-z"
"29254915","Text Simplification Using Consumer Health Vocabulary to Generate Patient-Centered Radiology Reporting: Translation and Evaluation","Qenam B, Kim TY, Carroll MJ, Hogarth M.","J Med Internet Res. 2017 Dec 18;19(12):e417. doi: 10.2196/jmir.8536.","Qenam B","J Med Internet Res","2017","2017/12/20","PMC5748472","","10.2196/jmir.8536"
"39613846","De-identification is not enough: a comparison between de-identified and synthetic clinical notes","Sarkar AR, Chuang YS, Mohammed N, Jiang X.","Sci Rep. 2024 Nov 29;14(1):29669. doi: 10.1038/s41598-024-81170-y.","Sarkar AR","Sci Rep","2024","2024/11/29","PMC11607336","","10.1038/s41598-024-81170-y"
"31890002","First-generation migrants' use of psychotropic medication in Northern Ireland: a record linkage study","Bosqui T, O'Reilly D, Väänänen A, Patel K, Donnelly M, Wright D, Close C, Kouvonen A.","Int J Ment Health Syst. 2019 Dec 28;13:77. doi: 10.1186/s13033-019-0334-3. eCollection 2019.","Bosqui T","Int J Ment Health Syst","2019","2020/01/01","PMC6935113","","10.1186/s13033-019-0334-3"
"31647443","A Method for Generating Synthetic Electronic Medical Record Text","Guan J, Li R, Yu S, Zhang X.","IEEE/ACM Trans Comput Biol Bioinform. 2021 Jan-Feb;18(1):173-182. doi: 10.1109/TCBB.2019.2948985. Epub 2021 Feb 3.","Guan J","IEEE/ACM Trans Comput Biol Bioinform","2021","2019/10/25","","","10.1109/TCBB.2019.2948985"
"33084589","AutoScore: A Machine Learning-Based Automatic Clinical Score Generator and Its Application to Mortality Prediction Using Electronic Health Records","Xie F, Chakraborty B, Ong MEH, Goldstein BA, Liu N.","JMIR Med Inform. 2020 Oct 21;8(10):e21798. doi: 10.2196/21798.","Xie F","JMIR Med Inform","2020","2020/10/21","PMC7641783","","10.2196/21798"
"35885568","Novel Survival Features Generated by Clinical Text Information and Radiomics Features May Improve the Prediction of Ischemic Stroke Outcome","Guo Y, Yang Y, Cao F, Li W, Wang M, Luo Y, Guo J, Zaman A, Zeng X, Miu X, Li L, Qiu W, Kang Y.","Diagnostics (Basel). 2022 Jul 8;12(7):1664. doi: 10.3390/diagnostics12071664.","Guo Y","Diagnostics (Basel)","2022","2022/07/27","PMC9324145","","10.3390/diagnostics12071664"
"39390479","Large-scale identification of social and behavioral determinants of health from clinical notes: comparison of Latent Semantic Indexing and Generative Pretrained Transformer (GPT) models","Roy S, Morrell S, Zhao L, Homayouni R.","BMC Med Inform Decis Mak. 2024 Oct 10;24(1):296. doi: 10.1186/s12911-024-02705-x.","Roy S","BMC Med Inform Decis Mak","2024","2024/10/10","PMC11465786","","10.1186/s12911-024-02705-x"
"34920125","Synthesizing time-series wound prognosis factors from electronic medical records using generative adversarial networks","Foomani FH, Anisuzzaman DM, Niezgoda J, Niezgoda J, Guns W, Gopalakrishnan S, Yu Z.","J Biomed Inform. 2022 Jan;125:103972. doi: 10.1016/j.jbi.2021.103972. Epub 2021 Dec 14.","Foomani FH","J Biomed Inform","2022","2021/12/17","","","10.1016/j.jbi.2021.103972"
"32532784","Generating high-quality data abstractions from scanned clinical records: text-mining-assisted extraction of endometrial carcinoma pathology features as proof of principle","Nguyen A, O'Dwyer J, Vu T, Webb PM, Johnatty SE, Spurdle AB.","BMJ Open. 2020 Jun 11;10(6):e037740. doi: 10.1136/bmjopen-2020-037740.","Nguyen A","BMJ Open","2020","2020/06/14","PMC7295399","","10.1136/bmjopen-2020-037740"
"40986767","Oncology Nurse Well-Being and the Electronic Health Record-Generated Nurse-Patient Assignment","Le Roux SC, Phan TK, Hatchel KK.","Clin J Oncol Nurs. 2025 Sep 17;29(5):E158-E166. doi: 10.1188/25.CJON.E158-E166.","Le Roux SC","Clin J Oncol Nurs","2025","2025/09/23","PMC12463150","","10.1188/25.CJON.E158-E166"
"34976636","Developing a synthetic control group using electronic health records: Application to a single-arm lifestyle intervention study","Ko YA, Chen Z, Liu C, Hu Y, Quyyumi AA, Waller LA, Higgins M, Ziegler TR, Brigham KL, Martin GS.","Prev Med Rep. 2021 Oct 4;24:101572. doi: 10.1016/j.pmedr.2021.101572. eCollection 2021 Dec.","Ko YA","Prev Med Rep","2021","2022/01/03","PMC8683890","","10.1016/j.pmedr.2021.101572"
"39402925","Pharmacogenomic augmented machine learning in electronic health record alerts: A health system-wide usability survey of clinicians","Grant CW, Marrero-Polanco J, Joyce JB, Barry B, Stillwell A, Kruger K, Anderson T, Talley H, Hedges M, Valery J, White R, Sharp RR, Croarkin PE, Dyrbye LN, Bobo WV, Athreya AP.","Clin Transl Sci. 2024 Oct;17(10):e70044. doi: 10.1111/cts.70044.","Grant CW","Clin Transl Sci","2024","2024/10/15","PMC11473792","","10.1111/cts.70044"
"37695983","Improving Real-World Mortality Data Quality in Oncology Research: Augmenting Electronic Medical Records With Obituary, Social Security Death Index, and Commercial Claims Data","Shao P, Tepsick JG, Walker B, Ray HE.","JCO Clin Cancer Inform. 2023 Sep;7:e2300014. doi: 10.1200/CCI.23.00014.","Shao P","JCO Clin Cancer Inform","2023","2023/09/11","PMC10569778","","10.1200/CCI.23.00014"
"36008740","Computer-generated structured electronic medical records are preferable to conventional medical records for patients with acute abdominal pain - a prospective, double-blinded study","Saaristo L, Ukkonen MT, Wirta EV, Kotaluoto S, Lammi M, Laukkarinen JM, Pauniaho SK.","J Med Syst. 2022 Aug 26;46(10):63. doi: 10.1007/s10916-022-01852-w.","Saaristo L","J Med Syst","2022","2022/08/25","PMC9411218","","10.1007/s10916-022-01852-w"
"32633720","Augmented curation of clinical notes from a massive EHR system reveals symptoms of impending COVID-19 diagnosis","Wagner T, Shweta F, Murugadoss K, Awasthi S, Venkatakrishnan AJ, Bade S, Puranik A, Kang M, Pickering BW, O'Horo JC, Bauer PR, Razonable RR, Vergidis P, Temesgen Z, Rizza S, Mahmood M, Wilson WR, Challener D, Anand P, Liebers M, Doctor Z, Silvert E, Solomon H, Anand A, Barve R, Gores G, Williams AW, Morice WG 2nd, Halamka J, Badley A, Soundararajan V.","Elife. 2020 Jul 7;9:e58227. doi: 10.7554/eLife.58227.","Wagner T","Elife","2020","2020/07/08","PMC7410498","","10.7554/eLife.58227"
"33407429","Generating real-world evidence from unstructured clinical notes to examine clinical utility of genetic tests: use case in BRCAness","Zhao Y, Weroha SJ, Goode EL, Liu H, Wang C.","BMC Med Inform Decis Mak. 2021 Jan 6;21(1):3. doi: 10.1186/s12911-020-01364-y.","Zhao Y","BMC Med Inform Decis Mak","2021","2021/01/07","PMC7789545","","10.1186/s12911-020-01364-y"
"33622028","Evaluation of an augmented emergency department electronic medical record-based sepsis alert","Shetty A, Murphy M, Middleton-Rennie C, Lancuba A, Green M, Lander H, Fullick M, Li L, Iredell J, Gunja N.","Emerg Med Australas. 2021 Oct;33(5):848-856. doi: 10.1111/1742-6723.13748. Epub 2021 Feb 23.","Shetty A","Emerg Med Australas","2021","2021/02/23","","","10.1111/1742-6723.13748"
"39375947","Validation Assessment of Privacy-Preserving Synthetic Electronic Health Record Data: Comparison of Original Versus Synthetic Data on Real-World COVID-19 Vaccine Effectiveness","Wang E, Mott K, Zhang H, Gazit S, Chodick G, Burcu M.","Pharmacoepidemiol Drug Saf. 2024 Oct;33(10):e70019. doi: 10.1002/pds.70019.","Wang E","Pharmacoepidemiol Drug Saf","2024","2024/10/08","","","10.1002/pds.70019"
"31140124","Generating Real-World Tumor Burden Endpoints from Electronic Health Record Data: Comparison of RECIST, Radiology-Anchored, and Clinician-Anchored Approaches for Abstracting Real-World Progression in Non-Small Cell Lung Cancer","Griffith SD, Tucker M, Bowser B, Calkins G, Chang CJ, Guardino E, Khozin S, Kraut J, You P, Schrag D, Miksad RA.","Adv Ther. 2019 Aug;36(8):2122-2136. doi: 10.1007/s12325-019-00970-1. Epub 2019 May 28.","Griffith SD","Adv Ther","2019","2019/05/30","PMC6822856","","10.1007/s12325-019-00970-1"
"37130345","Leveraging natural language processing to augment structured social determinants of health data in the electronic health record","Lybarger K, Dobbins NJ, Long R, Singh A, Wedgeworth P, Uzuner Ö, Yetisgen M.","J Am Med Inform Assoc. 2023 Jul 19;30(8):1389-1397. doi: 10.1093/jamia/ocad073.","Lybarger K","J Am Med Inform Assoc","2023","2023/05/02","PMC10354760","","10.1093/jamia/ocad073"
"31437887","Generation of Surrogates for De-Identification of Electronic Health Records","Chen A, Jonnagaddala J, Nekkantti C, Liaw ST.","Stud Health Technol Inform. 2019 Aug 21;264:70-73. doi: 10.3233/SHTI190185.","Chen A","Stud Health Technol Inform","2019","2019/08/24","","","10.3233/SHTI190185"
