PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31445246","Classifying adverse drug reactions from imbalanced twitter data","Dai HJ, Wang CK.","Int J Med Inform. 2019 Sep;129:122-132. doi: 10.1016/j.ijmedinf.2019.05.017. Epub 2019 May 30.","Dai HJ","Int J Med Inform","2019","2019/08/25","","","10.1016/j.ijmedinf.2019.05.017"
"40044818","A data-efficient strategy for building high-performing medical foundation models","Sun Y, Tan W, Gu Z, He R, Chen S, Pang M, Yan B.","Nat Biomed Eng. 2025 Apr;9(4):539-551. doi: 10.1038/s41551-025-01365-0. Epub 2025 Mar 5.","Sun Y","Nat Biomed Eng","2025","2025/03/05","","","10.1038/s41551-025-01365-0"
"37928464","Finetuning of GLIDE stable diffusion model for AI-based text-conditional image synthesis of dermoscopic images","Shavlokhova V, Vollmer A, Zouboulis CC, Vollmer M, Wollborn J, Lang G, Kübler A, Hartmann S, Stoll C, Roider E, Saravi B.","Front Med (Lausanne). 2023 Oct 20;10:1231436. doi: 10.3389/fmed.2023.1231436. eCollection 2023.","Shavlokhova V","Front Med (Lausanne)","2023","2023/11/06","PMC10623307","","10.3389/fmed.2023.1231436"
"30020079","4D dose calculation for pencil beam scanning proton therapy of pancreatic cancer using repeated 4DMRI datasets","Dolde K, Naumann P, Dávid C, Gnirs R, Kachelrieß M, Lomax AJ, Saito N, Weber DC, Pfaffenberger A, Zhang Y.","Phys Med Biol. 2018 Aug 10;63(16):165005. doi: 10.1088/1361-6560/aad43f.","Dolde K","Phys Med Biol","2018","2018/07/19","","","10.1088/1361-6560/aad43f"
"39451948","FLCMC: Federated Learning Approach for Chinese Medicinal Text Classification","Hu G, Fang X.","Entropy (Basel). 2024 Oct 17;26(10):871. doi: 10.3390/e26100871.","Hu G","Entropy (Basel)","2024","2024/10/25","PMC11507499","","10.3390/e26100871"
"41421266","CLIP-Guided Generative network for pathology nuclei image augmentation","Zhang Y, Liu Q, Chen Q, Bai X.","Med Image Anal. 2025 Dec 14;109:103908. doi: 10.1016/j.media.2025.103908. Online ahead of print.","Zhang Y","Med Image Anal","2025","2025/12/20","","","10.1016/j.media.2025.103908"
"41366470","The simultaneous targeted Inhibition of ISG15 and HMGCR disrupts cancer stemness through metabolic collapse and induces synthetic lethality in pancreatic ductal adenocarcinoma","Sun J, Wang JM, Zhang Q, Lin WY, Tang L, Lu SY, Li BQ, Du ZX, Wang HQ.","J Exp Clin Cancer Res. 2025 Dec 9;44(1):317. doi: 10.1186/s13046-025-03561-x.","Sun J","J Exp Clin Cancer Res","2025","2025/12/09","PMC12690959","","10.1186/s13046-025-03561-x"
"30687797","Natural language generation for electronic health records","Lee SH.","NPJ Digit Med. 2018 Nov 19;1:63. doi: 10.1038/s41746-018-0070-0. Print 2018.","Lee SH","NPJ Digit Med","2018","2019/01/29","PMC6345174","NIHMS1004482","10.1038/s41746-018-0070-0"
"34741702","GAN for synthesizing CT from T2-weighted MRI data towards MR-guided radiation treatment","Ranjan A, Lalwani D, Misra R.","MAGMA. 2022 Jun;35(3):449-457. doi: 10.1007/s10334-021-00974-5. Epub 2021 Nov 6.","Ranjan A","MAGMA","2022","2021/11/06","","","10.1007/s10334-021-00974-5"
"36329253","DeepFake knee osteoarthritis X-rays from generative adversarial neural networks deceive medical experts and offer augmentation potential to automatic classification","Prezja F, Paloneva J, Pölönen I, Niinimäki E, Äyrämö S.","Sci Rep. 2022 Nov 3;12(1):18573. doi: 10.1038/s41598-022-23081-4.","Prezja F","Sci Rep","2022","2022/11/04","PMC9633706","","10.1038/s41598-022-23081-4"
"28424934","Synthesis, antioxidant and antimicrobial activities of novel thiopyrano[2,3-d]thiazoles based on aroylacrylic acids","Lozynskyi A, Zasidko V, Atamanyuk D, Kaminskyy D, Derkach H, Karpenko O, Ogurtsov V, Kutsyk R, Lesyk R.","Mol Divers. 2017 May;21(2):427-436. doi: 10.1007/s11030-017-9737-8. Epub 2017 Apr 19.","Lozynskyi A","Mol Divers","2017","2017/04/21","","","10.1007/s11030-017-9737-8"
"37452165","Accurate detection of paroxysmal atrial fibrillation with certified-GAN and neural architecture search","Asadi M, Poursalim F, Loni M, Daneshtalab M, Sjödin M, Gharehbaghi A.","Sci Rep. 2023 Jul 14;13(1):11378. doi: 10.1038/s41598-023-38541-8.","Asadi M","Sci Rep","2023","2023/07/14","PMC10349064","","10.1038/s41598-023-38541-8"
"35312030","Parametric image generation with the uEXPLORER total-body PET/CT system through deep learning","Huang Z, Wu Y, Fu F, Meng N, Gu F, Wu Q, Zhou Y, Yang Y, Liu X, Zheng H, Liang D, Wang M, Hu Z.","Eur J Nucl Med Mol Imaging. 2022 Jul;49(8):2482-2492. doi: 10.1007/s00259-022-05731-x. Epub 2022 Mar 21.","Huang Z","Eur J Nucl Med Mol Imaging","2022","2022/03/21","","","10.1007/s00259-022-05731-x"
"39732434","Evaluating ChatGPT's Multilingual Performance in Clinical Nutrition Advice Using Synthetic Medical Text: Insights from Central Asia","Adilmetova G, Nassyrov R, Meyerbekova A, Karabay A, Varol HA, Chan MY.","J Nutr. 2025 Mar;155(3):729-735. doi: 10.1016/j.tjnut.2024.12.018. Epub 2024 Dec 26.","Adilmetova G","J Nutr","2025","2024/12/28","","","10.1016/j.tjnut.2024.12.018"
"34078935","Radius-optimized efficient template matching for lesion detection from brain images","Koley S, Dutta PK, Aganj I.","Sci Rep. 2021 Jun 2;11(1):11586. doi: 10.1038/s41598-021-90147-0.","Koley S","Sci Rep","2021","2021/06/03","PMC8172536","","10.1038/s41598-021-90147-0"
"40499374","Detecting the clinical features of difficult-to-treat depression using synthetic data from large language models","Lorge I, Joyce DW, Taylor N, Nevado-Holgado A, Cipriani A, Kormilitzin A.","Comput Biol Med. 2025 Aug;194:110246. doi: 10.1016/j.compbiomed.2025.110246. Epub 2025 Jun 10.","Lorge I","Comput Biol Med","2025","2025/06/11","","","10.1016/j.compbiomed.2025.110246"
"41185018","Itaconate-functionalized tetrahedral framework nucleic acids break the dry eye vicious cycle through dual antioxidant and anti-inflammatory actions","Jiang K, Lin Z, Cheng M, Chen Y, Jiang Y, Xu C, Zhu L, Gong B, Zhang C, Hong J.","J Nanobiotechnology. 2025 Nov 3;23(1):699. doi: 10.1186/s12951-025-03742-y.","Jiang K","J Nanobiotechnology","2025","2025/11/04","PMC12581332","","10.1186/s12951-025-03742-y"
"41447487","Leveraging Clinical Text and Class Conditioning for 3D Prostate MRI Generation","Grabke EP, Taati B, Haider MA.","IEEE Trans Biomed Eng. 2025 Dec 25;PP. doi: 10.1109/TBME.2025.3648426. Online ahead of print.","Grabke EP","IEEE Trans Biomed Eng","2025","2025/12/25","","","10.1109/TBME.2025.3648426"
"27119993","Fibrin Sealants in Dura Sealing: A Systematic Literature Review","Esposito F, Angileri FF, Kruse P, Cavallo LM, Solari D, Esposito V, Tomasello F, Cappabianca P.","PLoS One. 2016 Apr 27;11(4):e0151533. doi: 10.1371/journal.pone.0151533. eCollection 2016.","Esposito F","PLoS One","2016","2016/04/28","PMC4847933","","10.1371/journal.pone.0151533"
"40030730","DiffBoost: Enhancing Medical Image Segmentation via Text-Guided Diffusion Model","Zhang Z, Yao L, Wang B, Jha D, Durak G, Keles E, Medetalibeyoglu A, Bagci U.","IEEE Trans Med Imaging. 2025 Sep;44(9):3670-3682. doi: 10.1109/TMI.2024.3519307.","Zhang Z","IEEE Trans Med Imaging","2025","2025/03/03","PMC12573213","NIHMS2111742","10.1109/TMI.2024.3519307"
"38064116","Super-Resolution Reconstruction of CT Images Based on Multi-scale Information Fused Generative Adversarial Networks","Liu X, Su S, Gu W, Yao T, Shen J, Mo Y.","Ann Biomed Eng. 2024 Jan;52(1):57-70. doi: 10.1007/s10439-023-03412-w. Epub 2023 Dec 8.","Liu X","Ann Biomed Eng","2024","2023/12/08","","","10.1007/s10439-023-03412-w"
"37479972","Starvar: symptom-based tool for automatic ranking of variants using evidence from literature and genomes","Kafkas Ș, Abdelhakim M, Uludag M, Althagafi A, Alghamdi M, Hoehndorf R.","BMC Bioinformatics. 2023 Jul 21;24(1):294. doi: 10.1186/s12859-023-05406-w.","Kafkas Ș","BMC Bioinformatics","2023","2023/07/21","PMC10362560","","10.1186/s12859-023-05406-w"
"31175535","Registration of vascular structures using a hybrid mixture model","Bayer S, Zhai Z, Strumia M, Tong X, Gao Y, Staring M, Stoel B, Fahrig R, Nabavi A, Maier A, Ravikumar N.","Int J Comput Assist Radiol Surg. 2019 Sep;14(9):1507-1516. doi: 10.1007/s11548-019-02007-y. Epub 2019 Jun 7.","Bayer S","Int J Comput Assist Radiol Surg","2019","2019/06/09","","","10.1007/s11548-019-02007-y"
"40374917","A review on generative AI models for synthetic medical text, time series, and longitudinal data","Loni M, Poursalim F, Asadi M, Gharehbaghi A.","NPJ Digit Med. 2025 May 15;8(1):281. doi: 10.1038/s41746-024-01409-w.","Loni M","NPJ Digit Med","2025","2025/05/15","PMC12081667","","10.1038/s41746-024-01409-w"
"38213944","Two Directions for Clinical Data Generation with Large Language Models: Data-to-Label and Label-to-Data","Li R, Wang X, Yu H.","Proc Conf Empir Methods Nat Lang Process. 2023 Dec;2023:7129-7143. doi: 10.18653/v1/2023.findings-emnlp.474.","Li R","Proc Conf Empir Methods Nat Lang Process","2023","2024/01/12","PMC10782150","NIHMS1956595","10.18653/v1/2023.findings-emnlp.474"
"40962129","SynthMedic: Utilizing large language models for synthetic discharge summary generation, correction and validation","Grazhdanski G, Vasilev V, Vassileva S, Taskov D, Antova I, Koychev I, Boytcheva S.","J Biomed Inform. 2025 Oct;170:104906. doi: 10.1016/j.jbi.2025.104906. Epub 2025 Sep 15.","Grazhdanski G","J Biomed Inform","2025","2025/09/17","","","10.1016/j.jbi.2025.104906"
"35778708","Using an optimized generative model to infer the progression of complications in type 2 diabetes patients","Wang X, Lin Y, Xiong Y, Zhang S, He Y, He Y, Zhang Z, Plasek JM, Zhou L, Bates DW, Tang C.","BMC Med Inform Decis Mak. 2022 Jul 1;22(1):174. doi: 10.1186/s12911-022-01915-5.","Wang X","BMC Med Inform Decis Mak","2022","2022/07/01","PMC9250218","","10.1186/s12911-022-01915-5"
"39560937","Leveraging Open-Source Large Language Models for Data Augmentation in Hospital Staff Surveys: Mixed Methods Study","Ehrett C, Hegde S, Andre K, Liu D, Wilson T.","JMIR Med Educ. 2024 Nov 19;10:e51433. doi: 10.2196/51433.","Ehrett C","JMIR Med Educ","2024","2024/11/19","PMC11590755","","10.2196/51433"
"40753316","Multi-model assurance analysis showing large language models are highly vulnerable to adversarial hallucination attacks during clinical decision support","Omar M, Sorin V, Collins JD, Reich D, Freeman R, Gavin N, Charney A, Stump L, Bragazzi NL, Nadkarni GN, Klang E.","Commun Med (Lond). 2025 Aug 2;5(1):330. doi: 10.1038/s43856-025-01021-3.","Omar M","Commun Med (Lond)","2025","2025/08/02","PMC12318031","","10.1038/s43856-025-01021-3"
"41160371","Long-term persistence of biological agents in the treatment of patients with rheumatoid arthritis: a systematic literature review and meta-analysis","Schneeberger EE, Felquer MLA, Citera G, Soriano E, Mysler E, Masson W, Lobo LM.","Clin Rheumatol. 2025 Oct 29. doi: 10.1007/s10067-025-07700-9. Online ahead of print.","Schneeberger EE","Clin Rheumatol","2025","2025/10/29","","","10.1007/s10067-025-07700-9"
"33299110","A large-scale internal validation study of unsupervised virtual trichrome staining technologies on nonalcoholic steatohepatitis liver biopsies","Levy JJ, Azizgolshani N, Andersen MJ Jr, Suriawinata A, Liu X, Lisovsky M, Ren B, Bobak CA, Christensen BC, Vaickus LJ.","Mod Pathol. 2021 Apr;34(4):808-822. doi: 10.1038/s41379-020-00718-1. Epub 2020 Dec 9.","Levy JJ","Mod Pathol","2021","2020/12/10","PMC7985027","NIHMS1646326","10.1038/s41379-020-00718-1"
"40270415","Development of a Synthetic Oncology Pathology Dataset for Large Language Model Evaluation in Medical Text Classification","Hackl WO, Neururer SB, Richter S, Taha H, Muehlboeck H, Hickmann C, Gscheidlinger P, Danler M, Schweitzer M, Ueberegger M, Pfeifer B.","Stud Health Technol Inform. 2025 Apr 24;324:215-220. doi: 10.3233/SHTI250191.","Hackl WO","Stud Health Technol Inform","2025","2025/04/24","","","10.3233/SHTI250191"
"40369014","Evaluation of synthetic data impact on fire segmentation models performance","Arlovic M, Hrzic F, Patel M, Bednarz T, Balen J.","Sci Rep. 2025 May 14;15(1):16759. doi: 10.1038/s41598-025-01571-5.","Arlovic M","Sci Rep","2025","2025/05/14","PMC12078519","","10.1038/s41598-025-01571-5"
"39936416","Informatics Approach Towards Targeting HTR1B Pathways in Neuropharmacology for Migraine Treatment","Ahmad S, Wang L, Zafar I, Abbas Z, Unar A, Mohany M, Al-Rejaie SS, Ullah Khan N, Ali I, Shafiq M.","Curr Neuropharmacol. 2025;23(14):1939-1961. doi: 10.2174/011570159X341703250130064735.","Ahmad S","Curr Neuropharmacol","2025","2025/02/12","PMC12676031","","10.2174/011570159X341703250130064735"
"40863396","Enhancing and Not Replacing Clinical Expertise: Improving Named-Entity Recognition in Colonoscopy Reports Through Mixed Real-Synthetic Training Sources","Ioanovici AC, Feier AM, Mărușteri MȘ, Trâmbițaș-Miron AD, Dobru DE.","J Pers Med. 2025 Jul 30;15(8):334. doi: 10.3390/jpm15080334.","Ioanovici AC","J Pers Med","2025","2025/08/27","PMC12387308","","10.3390/jpm15080334"
"39465329","Synergistic pairing of synthetic image generation with disease classification modeling permits rapid digital classification tool development","Allan-Blitz LT, Ambepitiya S, Prathapa J, Rietmeijer CA, Kularathne Y, Klausner JD.","Sci Rep. 2024 Oct 27;14(1):25632. doi: 10.1038/s41598-024-77565-6.","Allan-Blitz LT","Sci Rep","2024","2024/10/28","PMC11514197","","10.1038/s41598-024-77565-6"
"31187399","Enabling machine learning in X-ray-based procedures via realistic simulation of image formation","Unberath M, Zaech JN, Gao C, Bier B, Goldmann F, Lee SC, Fotouhi J, Taylor R, Armand M, Navab N.","Int J Comput Assist Radiol Surg. 2019 Sep;14(9):1517-1528. doi: 10.1007/s11548-019-02011-2. Epub 2019 Jun 11.","Unberath M","Int J Comput Assist Radiol Surg","2019","2019/06/13","PMC7297499","NIHMS1594174","10.1007/s11548-019-02011-2"
"41309776","Enhanced early chronic kidney disease prediction using hybrid waterwheel plant algorithm for deep neural network optimization","Khafaga DS, Khodadadi N, Khodadadi E, Ali Alhussan A, Eid MM, El-Kenawy EM.","Sci Rep. 2025 Nov 27;15(1):42584. doi: 10.1038/s41598-025-26382-6.","Khafaga DS","Sci Rep","2025","2025/11/27","PMC12663282","","10.1038/s41598-025-26382-6"
"31932774","FLOW-MAP: a graph-based, force-directed layout algorithm for trajectory mapping in single-cell time course datasets","Ko ME, Williams CM, Fread KI, Goggin SM, Rustagi RS, Fragiadakis GK, Nolan GP, Zunder ER.","Nat Protoc. 2020 Feb;15(2):398-420. doi: 10.1038/s41596-019-0246-3. Epub 2020 Jan 13.","Ko ME","Nat Protoc","2020","2020/01/15","PMC7897424","NIHMS1668579","10.1038/s41596-019-0246-3"
"31378841","Synthesis of CT images from digital body phantoms using CycleGAN","Russ T, Goerttler S, Schnurr AK, Bauer DF, Hatamikia S, Schad LR, Zöllner FG, Chung K.","Int J Comput Assist Radiol Surg. 2019 Oct;14(10):1741-1750. doi: 10.1007/s11548-019-02042-9. Epub 2019 Aug 5.","Russ T","Int J Comput Assist Radiol Surg","2019","2019/08/06","","","10.1007/s11548-019-02042-9"
"38519155","Foresight-a generative pretrained transformer for modelling of patient timelines using electronic health records: a retrospective modelling study","Kraljevic Z, Bean D, Shek A, Bendayan R, Hemingway H, Yeung JA, Deng A, Baston A, Ross J, Idowu E, Teo JT, Dobson RJB.","Lancet Digit Health. 2024 Apr;6(4):e281-e290. doi: 10.1016/S2589-7500(24)00025-6.","Kraljevic Z","Lancet Digit Health","2024","2024/03/22","PMC11220626","","10.1016/S2589-7500(24)00025-6"
"33445771","A R-Script for Generating Multiple Sclerosis Lesion Pattern Discrimination Plots","Marschallinger R, Tur C, Marschallinger H, Sellner J.","Brain Sci. 2021 Jan 12;11(1):90. doi: 10.3390/brainsci11010090.","Marschallinger R","Brain Sci","2021","2021/01/15","PMC7830121","","10.3390/brainsci11010090"
"33931726","Synthetic single cell RNA sequencing data from small pilot studies using deep generative models","Treppner M, Salas-Bastos A, Hess M, Lenz S, Vogel T, Binder H.","Sci Rep. 2021 Apr 30;11(1):9403. doi: 10.1038/s41598-021-88875-4.","Treppner M","Sci Rep","2021","2021/05/01","PMC8087667","","10.1038/s41598-021-88875-4"
"40628783","Optimizing machine learning for network inference through comparative analysis of model performance in synthetic and real-world networks","Khan R, Khan S, Pari B, Puszynski K.","Sci Rep. 2025 Jul 8;15(1):24472. doi: 10.1038/s41598-025-02982-0.","Khan R","Sci Rep","2025","2025/07/08","PMC12238644","","10.1038/s41598-025-02982-0"
"31392671","Improving realism in patient-specific abdominal ultrasound simulation using CycleGANs","Vitale S, Orlando JI, Iarussi E, Larrabide I.","Int J Comput Assist Radiol Surg. 2020 Feb;15(2):183-192. doi: 10.1007/s11548-019-02046-5. Epub 2019 Aug 7.","Vitale S","Int J Comput Assist Radiol Surg","2020","2019/08/09","","","10.1007/s11548-019-02046-5"
"29945502","Compound property enhancement by virtual compound synthesis","Arai N, Yoshikawa S, Yasuo N, Yoshino R, Sekijima M.","J Bioinform Comput Biol. 2018 Jun;16(3):1840016. doi: 10.1142/S0219720018400164.","Arai N","J Bioinform Comput Biol","2018","2018/06/28","","","10.1142/S0219720018400164"
"40040103","Synthesizing CTA Image Data for Type-B Aortic Dissection using Stable Diffusion Models","Abaid A, Ali Farooq M, Hynes N, Corcoran P, Ullah I.","Annu Int Conf IEEE Eng Med Biol Soc. 2024 Jul;2024:1-5. doi: 10.1109/EMBC53108.2024.10782969.","Abaid A","Annu Int Conf IEEE Eng Med Biol Soc","2024","2025/03/05","","","10.1109/EMBC53108.2024.10782969"
"28578250","Increases in synthetic cannabinoids-related harms: Results from a longitudinal web-based content analysis","Lamy FR, Daniulaityte R, Nahhas RW, Barratt MJ, Smith AG, Sheth A, Martins SS, Boyer EW, Carlson RG.","Int J Drug Policy. 2017 Jun;44:121-129. doi: 10.1016/j.drugpo.2017.05.007. Epub 2017 Jun 1.","Lamy FR","Int J Drug Policy","2017","2017/06/05","PMC5545681","NIHMS876447","10.1016/j.drugpo.2017.05.007"
"39187663","A vision-language foundation model for the generation of realistic chest X-ray images","Bluethgen C, Chambon P, Delbrouck JB, van der Sluijs R, Połacin M, Zambrano Chaves JM, Abraham TM, Purohit S, Langlotz CP, Chaudhari AS.","Nat Biomed Eng. 2025 Apr;9(4):494-506. doi: 10.1038/s41551-024-01246-y. Epub 2024 Aug 26.","Bluethgen C","Nat Biomed Eng","2025","2024/08/26","PMC11861387","NIHMS2023706","10.1038/s41551-024-01246-y"
